200 40
NETWORK_TREE :
150 0 10
147 150 4
166 150 3
66 166 10
156 0 7
80 147 1
126 147 6
14 147 7
29 0 8
108 66 4
34 156 6
56 156 6
71 66 4
92 71 2
163 34 2
134 108 9
65 29 2
139 66 6
190 108 1
83 71 2
149 0 5
44 139 2
37 166 8
62 71 3
72 14 3
173 34 2
137 65 8
129 137 8
42 62 8
193 62 3
155 149 5
5 83 8
47 66 7
19 80 4
1 0 3
121 14 4
78 47 7
135 78 2
97 147 5
45 56 7
130 80 1
112 193 2
186 65 9
119 80 6
31 44 2
109 19 5
145 37 2
48 130 9
53 173 10
88 1 6
165 130 7
191 1 3
138 88 7
85 80 2
67 47 9
90 166 6
30 92 4
68 147 8
58 166 2
32 42 5
38 58 6
120 109 7
84 42 8
141 97 5
24 92 7
196 137 9
170 38 4
7 156 5
187 24 7
2 38 5
132 5 3
74 53 4
28 191 2
151 68 6
174 42 4
40 29 4
3 112 2
81 58 1
20 81 9
13 88 8
101 80 5
167 88 6
116 130 3
94 120 6
107 85 3
153 5 9
178 5 4
98 1 10
111 44 6
6 62 5
16 40 3
123 116 3
176 156 3
11 134 4
161 58 8
75 90 2
124 65 4
106 19 3
110 34 4
148 83 2
136 42 4
17 190 4
39 83 1
73 153 4
118 3 3
10 138 7
140 24 3
127 14 2
26 153 1
144 48 10
162 151 9
33 153 7
128 58 9
55 10 8
152 65 1
59 148 3
89 13 1
70 28 10
63 7 5
197 5 3
22 147 2
102 149 4
18 3 8
185 116 10
182 92 3
4 40 6
9 94 7
175 14 1
169 32 2
164 165 5
23 126 4
86 31 2
154 17 1
115 176 4
179 166 5
64 11 7
93 134 1
177 66 9
183 71 10
143 118 3
105 14 6
52 39 4
188 59 7
69 33 3
192 178 2
172 83 2
194 70 1
125 183 3
41 186 10
49 66 1
82 58 7
180 97 5
21 41 2
168 28 7
57 39 2
117 11 8
113 89 3
104 162 2
46 74 10
91 63 2
199 26 5
114 116 4
15 66 6
160 98 3
171 34 1
100 78 4
131 170 9
96 153 7
158 139 8
79 158 2
133 166 10
76 11 10
77 160 1
43 177 2
122 196 1
12 119 10
184 100 2
146 16 1
54 45 1
25 139 7
157 17 4
36 182 1
103 48 1
27 54 4
195 47 9
159 162 3
61 78 8
60 47 10
87 105 1
189 105 1
181 154 9
95 157 3
99 54 3
142 166 9
35 191 10
50 89 8
198 138 7
51 17 5
8 146 4
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
1 33 2 3 35 4 5 6 39 8 11 12 13 14 15 16 19 21 22 26 27 28 29
2 32 5 23 9 31
3 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 23 24 26 27 29 31 32 34 35 36 37 38 39 40
4 32 1 19 36 21 22 39 8 10 29 13 15
5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39 40
6 33 2 34 35 36 4 6 38 39 8 40 10 12 13 14 16 17 21 22 25 26 27 30 31
7 1 3 5 8 10 11 14 15 18 19 20 22 23 24 26 29 30 32 33 35 36 37 38 39 40
8 1 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
9 1 2 3 4 5 6 9 10 11 12 13 14 15 17 18 19 20 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40
10 16 1 2 37 38 24 26 12 29 13
11 32 34 2 35 4 37 38 39 11 12 14 15 19 24 25 26 27 29
12 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40
13 32 33 36 37 38 39 10 12 13 14 18 22 23 24 26 27 29 31
14 1 2 4 6 7 8 9 13 14 16 18 19 21 22 23 25 26 27 28 29 30 32 35 37 38 39 40
15 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40
16 32 2 34 35 36 4 6 38 7 8 9 10 13 14 15 17 18 22 24 26 27 29 30 31
17 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 40
18 1 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38 39
19 1 2 3 5 6 7 8 9 10 11 13 15 16 17 18 20 24 25 26 30 31 32 34 35 36 38 39 40
20 1 33 18 3 20 21 39 25 9 11 14
21 17 36 4 37 22 38 23 7 40 8 9 28
22 1 3 4 6 7 9 12 13 14 18 19 20 21 22 23 24 27 28 30 33 34 35 36 37 38 39
23 29
