200 100
NETWORK_TREE :
68 0 4
176 0 3
85 0 1
172 85 1
77 0 2
191 68 3
167 172 6
30 77 7
32 0 8
41 0 3
102 32 3
75 0 5
180 0 5
130 85 1
37 102 1
71 180 4
194 75 1
5 85 3
163 77 10
44 191 1
92 41 8
174 77 1
190 0 2
122 77 10
74 172 2
15 102 8
43 77 8
1 43 7
136 30 9
125 194 9
116 5 8
193 167 9
39 167 5
10 174 5
161 116 7
170 0 1
149 68 3
178 68 10
29 178 3
86 75 5
128 92 7
123 128 5
51 10 3
135 51 9
147 149 3
169 174 3
195 170 4
18 0 7
146 44 7
158 75 4
196 172 6
101 123 7
13 74 9
91 149 3
12 43 8
192 167 9
112 0 6
26 180 5
179 75 3
69 37 4
79 74 1
57 68 10
115 172 2
54 195 6
97 39 3
168 18 7
171 44 6
82 163 9
137 71 5
198 75 6
184 15 3
50 13 5
9 74 10
129 54 6
150 184 9
76 71 7
185 130 7
143 128 1
186 5 10
7 9 2
155 82 10
64 178 10
24 29 4
151 116 3
3 178 7
46 57 1
60 192 6
67 129 9
16 198 3
141 50 9
90 186 3
70 91 1
105 167 10
124 37 7
48 9 7
132 92 4
99 174 4
187 69 2
42 18 5
6 50 2
62 116 8
104 68 1
4 10 10
34 169 1
49 30 3
145 44 3
81 169 9
31 146 8
36 15 6
33 184 3
65 155 9
53 147 5
19 51 8
160 85 1
119 185 4
45 42 10
106 143 8
175 151 3
199 1 8
23 45 9
28 23 3
159 145 2
56 119 7
40 194 2
55 125 10
113 28 10
118 91 5
103 33 5
197 102 8
47 143 8
156 76 9
72 159 2
173 26 1
140 141 2
188 41 4
80 129 8
162 169 9
94 155 8
182 180 2
148 115 5
154 163 9
133 170 1
2 50 1
88 188 10
93 65 7
139 94 2
127 167 10
177 186 3
78 71 7
66 50 8
117 77 7
58 33 7
181 188 6
134 26 10
25 117 5
38 41 10
27 132 10
131 36 9
89 197 6
21 45 10
153 133 5
165 29 8
166 21 5
108 12 10
20 103 5
114 187 1
14 15 10
126 143 6
109 56 10
152 132 4
98 114 4
8 65 6
107 159 1
84 80 6
142 21 5
121 127 3
61 81 7
100 79 4
96 199 10
111 193 10
35 27 2
11 159 4
73 191 10
144 169 10
17 3 4
138 64 9
87 47 1
63 114 4
183 112 2
59 190 3
164 53 7
189 159 2
83 62 1
110 70 3
22 112 10
52 102 5
120 127 5
157 176 6
95 122 5
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
