200 50
NETWORK_TREE :
167 0 8
188 0 2
160 188 2
61 167 2
149 160 2
190 188 1
150 188 6
194 149 9
157 167 1
21 160 6
193 167 3
75 61 2
146 61 2
23 193 7
12 194 10
101 0 4
7 150 2
37 149 6
59 12 10
2 149 2
169 101 10
27 21 1
53 2 8
106 21 10
62 61 8
30 194 9
85 0 8
156 21 9
91 30 3
96 85 1
44 0 2
155 75 5
124 160 7
5 157 1
173 146 10
126 27 2
41 157 2
77 149 2
117 61 8
114 44 5
13 7 1
139 167 9
46 188 9
116 77 2
48 155 8
4 139 8
56 5 7
158 0 2
93 169 9
49 96 7
166 158 7
52 146 7
105 46 2
29 188 1
45 188 3
3 139 5
121 150 9
1 93 7
168 96 2
102 59 1
174 2 2
133 155 10
172 194 10
68 2 5
36 158 10
153 12 10
99 45 10
40 139 2
152 77 3
189 23 2
20 23 3
177 36 5
95 29 9
65 4 1
71 155 6
154 149 6
125 20 9
66 99 4
39 37 10
76 66 3
140 52 8
15 65 9
187 194 9
178 116 6
84 52 2
199 167 8
183 4 1
28 76 7
50 71 6
34 41 1
86 49 1
19 7 8
57 125 3
100 193 7
191 174 8
83 174 2
115 193 5
192 133 7
55 48 8
195 44 1
78 13 9
63 183 9
42 66 9
31 105 3
197 93 3
8 192 3
110 183 8
98 172 1
74 169 8
16 106 1
184 189 3
51 157 4
69 149 8
128 146 5
145 19 2
134 30 5
179 100 5
147 76 8
111 149 9
92 199 5
97 177 6
163 116 9
73 128 6
118 15 10
90 194 7
185 153 1
109 185 8
26 140 3
141 51 1
35 51 1
148 21 6
81 174 10
181 45 8
176 29 9
108 62 5
103 177 9
151 111 10
159 155 8
119 15 2
170 124 2
38 7 8
164 51 10
33 172 5
54 44 5
104 38 3
25 2 6
196 153 6
67 173 7
162 65 4
9 155 6
120 146 4
89 106 8
198 21 8
137 156 4
47 164 3
80 140 4
143 179 3
17 38 10
112 148 10
180 187 2
22 9 2
107 8 10
10 95 7
6 52 10
186 33 9
122 3 5
136 7 7
132 162 9
113 78 1
129 33 9
58 121 3
182 39 9
138 196 4
175 9 3
60 7 7
171 34 7
142 98 8
43 178 7
64 156 8
18 64 5
24 182 6
32 99 6
161 98 5
87 148 2
14 187 10
79 2 5
123 16 8
88 104 9
72 151 8
94 173 6
130 53 1
131 13 4
82 88 7
127 151 2
135 188 3
144 41 5
70 125 7
165 168 1
11 117 5
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
1 1 2 3 4 5 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 25 26 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
2 2 3 4 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 31 32 33 34 35 36 37 39 41 43 44 45 46 47 49 50
3 3 5 6 8 10 12 13 14 15 16 17 18 19 20 21 24 25 26 27 28 29 30 31 32 33 35 36 39 40 41 43 44 45 46 48 49 50
4 2 6 8 9 10 14 15 17 18 19 20 21 22 23 24 25 26 28 29 36 37 38 40 41 42 43 45 46 47 48 49
5 3 5 6 7 9 10 12 14 15 16 18 20 21 25 26 27 29 31 32 33 34 36 38 39 41 43 45 46 47 48 49 50
6 4 5 8 10 11 12 13 14 15 17 18 19 20 21 22 24 25 26 29 30 31 33 34 37 42 43 45 47 48 50
7 3 4 6 8 9 13 15 16 17 18 20 23 24 26 28 30 31 34 35 36 38 39 41 42 43 44 47 48 50
8 2 3 35 4 5 37 38 7 39 8 10 13 46 15 49 50 18 19 20 21 23 27 29
9 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 28 30 31 32 33 34 36 38 39 40 41 42 43 45 46 47 48 50
10 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 49 50
11 1 3 4 5 8 10 12 16 17 19 20 21 23 24 26 27 28 29 31 32 33 36 39 42 44 46 47 49 50
12 1 4 5 8 16 17 18 19 20 22 24 25 26 28 33 35 36 37 38 41 42 43 44 46 47 49 50
13 1 2 3 8 9 10 11 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 30 31 34 36 37 38 39 41 42 43 44 46 47 49
14 1 14
15 49 34 50 20 7 9 26 43 44 31
16 1 2 3 5 6 7 8 9 10 11 12 13 14 17 18 19 21 22 23 24 25 26 27 28 31 32 33 34 35 36 37 38 39 41 42 43 45 47 49
17 48 19 6 44
18 1 4 7 8 9 11 12 13 14 15 16 17 18 20 21 22 25 27 28 29 30 31 32 34 35 36 39 40 41 42 44 45 48 49 50
19 1 2 3 4 5 7 8 10 11 14 17 18 23 24 25 27 28 32 33 34 35 36 39 40 41 42 43 44 48 49 50
20 16 10
21 18 30 15
22 33 1 34 3 36 37 39 8 9 42 44 12 13 45 14 46 49 19 22 24 25 28 30
23 1 2 3 5 6 9 10 11 12 13 14 18 19 20 21 22 24 25 26 28 29 31 32 35 36 37 38 40 43 44 45 46 49 50
24 1 3 5 7 9 11 13 16 17 18 21 22 23 24 25 28 31 33 35 37 38 39 41 43 44 45 49
25 16 10 14
26 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 25 26 27 29 30 31 32 33 35 36 37 38 39 40 41 42 43 44 45 46 48 49 50
27 34 3 37 5 38 9 42 44 13 14 15 48 50 20 23 24 25 26 27
28 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 30 31 33 35 36 37 39 40 42 43 44 45 46 48 49 50
29 49 2
30 32 33 35 36 6 38 9 46 15 49 50 19 20 21 24 26 29 30
31 34 3 6 40 42 11 45 46 14 16 17 49 18 21 24 29 30
32 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 47 49 50
33 1 2 4 5 6 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50
34 2 3 5 6 8 10 11 12 14 15 18 21 22 24 25 27 28 30 31 32 34 35 38 39 40 42 46 47 48 49
36 3 4 6 7 8 10 13 14 16 18 22 23 27 28 31 32 33 34 38 39 41 42 43 45 48 49
37 1 2 4 5 7 8 9 11 13 15 16 17 18 19 20 21 22 23 24 25 26 29 31 32 35 36 37 44 46 47 49 50
38 1 2 3 6 7 8 9 10 11 12 15 17 20 22 26 27 30 31 32 34 35 36 39 40 43 45 47 50
39 33 36 37 5 8 9 41 11 13 14 16 19 20 22 24 25 29
40 1 2 3 4 5 6 8 9 10 11 13 14 16 17 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 39 40 41 42 43 44 45 46 47 49 50
41 1 2 5 6 7 8 11 12 13 14 17 18 19 20 21 22 23 24 25 26 28 29 30 31 34 35 36 37 38 40 41 43 45 47 49 50
42 32 34 3 5 7 40 43 45 47 50 18 21 22 23 25 26
43 2 3 5 6 7 8 10 11 12 13 15 16 17 20 21 22 25 26 27 28 29 30 31 32 33 34 35 36 38 40 41 42 43 44 45 47 48 49 50
44 32 1 3 35 37 6 8 9 41 43 45 13 46 47 16 48 21 22 23 29 31
45 3 4 5 6 9 10 11 12 13 14 16 17 21 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 39 40 42 43 44 45 46 47 49 50
46 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
47 1 2 36 5 7 39 40 41 42 43 46 15 16 48 49 18 20 23 28 29
48 33 34 2 5 38 7 39 11 12 44 20 21 23
49 4 37 13
50 1 3 4 5 6 7 8 9 10 11 12 13 16 17 21 22 23 25 26 28 29 30 31 32 33 34 36 37 39 40 43 44 45 46 50
51 1 34 3 39 40 41 42 10 46 14 48 19 20 22 23 28
52 4 5 6 7 8 9 11 12 14 15 16 17 18 20 21 22 23 24 25 26 28 29 30 31 32 35 37 38 39 40 41 42 44 46 48 49 50
53 32 2 35 36 4 38 39 40 10 42 43 44 12 13 45 14 22 24 27 30
55 32 1 34 35 4 36 5 39 8 40 9 42 12 47 15 16 50 19 23 24 25 26
56 26
57 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 36 37 38 39 41 42 43 44 45 46 47 48 49 50
58 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 23 24 26 27 28 29 30 31 32 36 37 40 41 43 44 46 47 49
59 33 36 37 5 6 7 40 10 11 44 15 16 20 23 27 31
60 2 4 5 7 8 9 11 14 17 18 19 21 24 25 27 28 29 31 33 34 35 39 45 46 48
61 1 2 3 4 5 6 7 8 9 11 12 13 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
62 1 2 3 4 5 7 11 12 14 15 16 18 19 20 24 25 27 28 29 32 33 36 39 43 50
63 3 7 44 45
64 33 34 35 36 5 8 41 9 42 11 43 12 15 16 48 49 50 24 25 27 29 31
65 32 33 1 4 5 38 6 39 7 10 13 45 46 16 48 17 50 19 20 21 22
66 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 44 45 46 47 48 49 50
