200 25
NETWORK_TREE :
64 0 3
30 0 3
11 30 1
40 0 3
69 40 4
37 30 7
47 40 5
164 11 5
107 0 9
3 11 1
153 69 6
96 37 6
104 11 1
82 69 7
105 0 1
191 153 3
163 11 7
197 104 5
135 104 6
192 0 5
157 191 6
196 47 9
28 47 6
48 28 8
125 153 5
154 135 10
174 37 5
116 11 9
146 197 9
19 11 2
26 196 5
189 104 9
92 191 4
165 107 10
52 96 6
55 48 10
173 192 6
67 37 5
6 26 9
24 19 5
7 19 3
71 96 2
25 6 7
45 69 3
34 48 3
41 48 7
143 104 3
114 24 1
1 48 9
65 157 2
16 71 7
100 96 9
14 45 4
144 65 7
60 96 6
170 7 5
171 45 7
61 174 2
199 144 2
101 47 3
126 11 7
2 143 4
70 105 8
175 34 1
109 40 5
35 25 8
188 65 1
68 47 1
86 126 4
186 34 7
78 52 4
97 70 2
198 45 2
122 104 2
36 165 3
132 37 6
88 125 7
31 0 7
13 19 5
121 92 3
137 3 4
194 132 1
131 37 6
39 34 9
118 24 4
149 37 8
145 13 6
98 86 2
141 88 7
56 68 4
117 36 10
66 153 10
76 40 2
50 7 2
38 165 8
148 107 4
123 7 4
18 173 10
178 163 10
193 170 6
20 25 1
102 122 9
29 123 9
8 148 5
112 107 9
152 56 10
129 96 9
15 170 6
5 171 9
79 86 7
151 143 9
161 86 6
158 11 8
59 145 7
89 13 4
54 82 7
42 38 7
77 89 4
83 153 1
74 38 1
103 35 5
99 13 1
190 69 5
140 112 2
180 67 9
33 42 9
17 1 8
21 126 3
160 101 8
127 97 7
106 47 3
179 52 3
108 145 5
80 137 3
87 52 10
184 118 2
177 127 3
44 173 2
84 86 9
73 99 7
176 45 7
113 67 8
139 36 1
172 26 4
167 176 3
51 18 6
181 40 6
119 196 4
185 6 6
4 20 3
168 143 10
183 64 2
10 101 9
110 160 7
63 29 9
32 38 5
62 145 9
159 173 1
162 98 6
9 184 3
124 139 1
49 65 6
58 9 8
142 14 8
27 73 1
155 66 3
138 162 10
57 64 5
156 71 2
94 101 4
72 153 8
134 79 5
43 59 6
75 30 7
120 192 7
128 96 2
187 27 8
150 101 9
90 141 2
136 117 2
115 143 2
53 194 3
93 189 3
81 3 7
46 54 3
22 98 3
85 10 5
23 55 9
195 62 3
130 22 10
166 65 7
147 120 10
169 192 6
111 147 8
91 155 7
182 119 7
95 122 1
133 42 5
12 120 9
NODE_PROGRAM :
