200 5
NETWORK_TREE :
148 0 10
116 148 3
82 0 5
131 148 1
89 116 5
71 131 1
130 82 4
198 82 9
197 71 5
67 198 5
143 198 8
112 67 5
73 89 5
95 67 9
7 197 9
134 116 2
22 148 2
29 131 8
156 131 3
163 198 4
21 198 5
91 130 9
92 112 3
35 92 8
149 29 9
52 73 9
28 198 2
17 67 6
199 149 5
175 131 1
133 131 7
186 21 1
11 186 6
132 73 2
19 134 7
106 130 7
102 198 2
39 131 5
43 39 5
127 43 4
177 0 7
76 7 9
178 127 8
151 102 3
79 149 5
48 198 9
80 143 2
83 163 10
117 127 3
136 178 2
162 132 7
65 0 2
108 19 6
126 156 8
40 178 8
147 143 3
23 131 4
187 43 4
85 48 4
105 89 6
50 117 3
150 197 2
99 39 2
104 39 3
138 112 1
69 28 7
49 29 9
169 127 6
60 108 7
142 150 10
32 108 1
160 186 4
125 50 7
75 148 1
194 187 6
176 76 10
44 28 9
158 106 3
54 83 2
182 116 1
8 54 9
18 142 8
118 105 10
68 65 10
161 143 5
111 49 4
193 111 4
45 131 2
33 194 6
37 178 5
100 29 6
2 130 7
173 89 6
103 32 10
155 161 9
77 73 6
137 54 8
90 182 10
157 28 8
190 193 8
140 85 2
159 155 2
170 187 5
98 89 8
41 160 3
1 35 8
57 77 6
26 60 10
189 163 3
171 65 7
191 91 5
34 43 2
153 162 5
72 35 4
109 49 2
154 149 6
38 65 8
20 138 7
167 103 2
168 182 4
192 137 5
146 79 6
129 146 9
164 173 9
61 44 6
183 103 6
70 116 5
174 183 1
47 183 10
42 168 4
184 70 6
139 65 10
94 138 3
114 160 7
3 111 6
53 1 9
55 197 9
88 94 2
81 70 1
120 161 7
58 138 5
97 91 2
59 142 7
36 80 5
145 132 9
122 3 3
144 82 9
64 126 6
128 178 3
113 88 2
172 167 7
107 125 3
196 146 2
96 199 7
5 164 10
66 114 4
25 59 4
84 198 1
51 8 9
135 167 4
15 48 8
110 85 3
78 125 10
10 151 1
141 80 7
86 81 2
152 173 9
14 78 6
74 41 6
13 150 3
9 35 5
124 111 5
16 36 3
180 70 3
179 72 6
27 113 9
24 15 10
6 54 10
195 48 2
87 105 8
31 38 2
62 128 2
63 133 1
119 163 10
181 53 10
121 39 1
115 35 4
165 194 6
46 128 5
123 39 6
185 1 1
12 20 3
101 16 3
4 16 8
166 4 2
56 85 1
93 152 3
30 162 6
188 100 5
NODE_PROGRAM :
0 1 2 3 4 5
1 2 3
2 1 3 4 5
5 1 2 4 5
7 2 4
8 2
10 5
12 1 2 3 5
13 2 3 4 5
15 2 3 4 5
17 2
19 3 4
20 2 3 4
21 5
24 2 3 4 5
25 1 2 3 4
26 2 3
27 1 4 5
29 2 4
30 1 2 3 4
31 2
32 2 4 5
34 5
35 5
36 1 2 4 5
38 1 2
39 3 4
43 4
44 3 4
45 4
47 1 3 4
48 2 3 4 5
49 1 2 4 5
52 2 3 4 5
55 5
56 4
57 1 3 5
58 3
59 1 3 5
60 2 3 4
61 4
62 1 5
63 1 3
65 3
66 1 3 5
67 2
69 1
70 2 3 5
71 2 3 4
73 1 3
74 2 3
76 1 2
77 1 5
78 1 3
80 1 2 4 5
81 3 5
82 1 2 3
83 1 2 3
84 2 3 4 5
85 1
86 2 3
87 3
89 1
90 1 4
91 3
92 1 3 4
93 2
94 1 3 4 5
95 4
96 1 3 4 5
98 1 5
99 3 4 5
100 1 5
102 1 5
104 1 2
105 1 2 3 5
106 4 5
109 2 4
110 2 3 4 5
111 1 4 5
112 2 4
113 2 5
114 1 4
115 2 3 4
116 1
117 3
118 3 4 5
119 2 3
120 4 5
121 1 2 3 5
122 1 3
123 1 4 5
124 4
125 5
126 4
127 1
130 2 3 5
132 1 2 3 5
135 1 3 4
136 1 2 4 5
137 1 3 4 5
138 3
139 3
141 2 3 4
142 5
143 2 3
144 1 3 4
146 4 5
150 1 3 4 5
151 2 4
153 1 4
154 3 4 5
157 1 3 5
158 1 2 3 4
159 1 2 3
160 1 3 4 5
162 1 3 4 5
165 2 4
166 1 3 5
168 1 5
169 1
170 5
171 2 5
172 1 5
173 4
174 1 2
176 1 2 4 5
177 1 4 5
178 1 2 3 5
179 1 2 3 4
181 1 2 3 5
183 3 4
184 2 3 4 5
185 2 3 5
186 1 3 5
187 3
189 5
190 4
191 1 2
193 1 2 3
194 1 2 4
195 2 4 5
196 1 2 3 5
197 2 3
198 1 2 3 5
COST_INSTALL_SERVER_AND_PROGRAMS :
0 12 3 2 1 3 2
1 7 4 3 2 1 1
2 10 4 2 3 3 3
3 8 4 1 3 4 5
4 12 3 2 5 1 4
5 15 4 3 3 4 5
6 12 4 4 1 1 4
7 12 1 4 5 5 2
8 14 4 4 5 2 4
9 14 2 3 2 4 1
10 6 2 2 1 3 4
11 13 2 1 2 2 3
12 13 2 4 4 3 3
13 10 5 1 2 4 5
14 13 5 5 5 5 5
