200 25
NETWORK_TREE :
1 0 3.0 
4 0 3.0 
5 4 1.0 
94 0 3.0 
95 94 4.0 
70 4 7.0 
128 94 5.0 
6 5 5.0 
166 0 9.0 
7 5 1.0 
96 95 6.0 
71 70 6.0 
11 5 1.0 
116 95 7.0 
183 0 1.0 
97 96 3.0 
26 5 7.0 
12 11 5.0 
14 11 6.0 
188 0 5.0 
98 97 6.0 
129 128 9.0 
141 128 6.0 
142 141 8.0 
107 96 5.0 
15 14 10.0 
83 70 5.0 
28 5 9.0 
13 12 9.0 
29 5 2.0 
130 129 5.0 
16 11 9.0 
105 97 4.0 
167 166 10.0 
72 71 6.0 
143 142 10.0 
189 188 6.0 
85 70 5.0 
131 130 9.0 
30 29 5.0 
36 29 3.0 
76 71 2.0 
132 131 7.0 
119 95 3.0 
145 142 3.0 
149 142 7.0 
18 11 3.0 
31 30 1.0 
150 142 9.0 
99 98 2.0 
77 76 7.0 
79 71 9.0 
120 119 4.0 
100 99 7.0 
80 71 6.0 
37 36 5.0 
122 119 7.0 
84 83 2.0 
101 100 2.0 
152 128 3.0 
57 5 7.0 
19 18 4.0 
184 183 8.0 
146 145 1.0 
163 94 5.0 
133 132 8.0 
102 99 1.0 
159 128 1.0 
58 57 4.0 
147 145 7.0 
73 72 4.0 
185 184 2.0 
124 119 2.0 
23 11 2.0 
168 167 3.0 
88 70 6.0 
108 107 7.0 
199 0 7.0 
44 29 5.0 
106 105 3.0 
8 7 4.0 
89 88 1.0 
91 70 6.0 
148 145 9.0 
32 30 4.0 
92 70 8.0 
45 44 6.0 
59 58 2.0 
109 108 7.0 
160 159 4.0 
169 168 10.0 
111 96 10.0 
164 94 2.0 
40 36 2.0 
173 167 8.0 
179 166 4.0 
41 36 4.0 
190 189 10.0 
27 26 10.0 
38 37 6.0 
135 132 1.0 
24 23 9.0 
42 41 9.0 
180 179 5.0 
181 166 9.0 
161 160 10.0 
81 71 9.0 
39 37 6.0 
123 122 9.0 
64 58 7.0 
20 18 9.0 
66 58 6.0 
69 5 8.0 
46 45 7.0 
51 44 4.0 
117 116 7.0 
174 173 7.0 
52 51 4.0 
114 96 1.0 
177 173 1.0 
