200 5
NETWORK_TREE :
1 0 10.0 
2 1 3.0 
113 0 5.0 
44 1 1.0 
3 2 5.0 
45 44 1.0 
114 113 4.0 
121 113 9.0 
46 45 5.0 
122 121 5.0 
144 121 8.0 
123 122 5.0 
4 3 5.0 
142 122 9.0 
47 46 9.0 
22 2 2.0 
111 1 2.0 
57 44 8.0 
76 44 3.0 
157 121 4.0 
167 121 5.0 
115 114 9.0 
124 123 3.0 
125 124 8.0 
58 57 9.0 
5 4 9.0 
175 121 2.0 
143 122 6.0 
59 58 5.0 
79 44 1.0 
80 44 7.0 
168 167 1.0 
169 168 6.0 
6 4 2.0 
23 22 7.0 
118 114 7.0 
180 121 2.0 
82 44 5.0 
83 82 5.0 
84 83 4.0 
193 0 7.0 
48 47 9.0 
85 84 8.0 
181 180 3.0 
61 58 5.0 
183 121 9.0 
145 144 2.0 
158 157 10.0 
92 84 3.0 
86 85 2.0 
7 6 7.0 
194 0 2.0 
24 23 6.0 
77 76 8.0 
87 85 8.0 
152 144 3.0 
109 44 4.0 
99 83 4.0 
184 183 4.0 
13 3 6.0 
93 92 3.0 
50 46 2.0 
105 82 2.0 
106 82 3.0 
134 123 1.0 
176 175 7.0 
66 57 9.0 
98 84 6.0 
25 24 7.0 
51 50 10.0 
27 24 1.0 
170 168 4.0 
94 93 7.0 
112 1 1.0 
100 99 6.0 
49 48 10.0 
177 175 9.0 
119 118 3.0 
159 158 2.0 
35 2 1.0 
160 159 9.0 
52 51 8.0 
14 13 10.0 
195 194 10.0 
153 144 5.0 
67 66 4.0 
68 67 4.0 
110 44 2.0 
101 100 6.0 
88 85 5.0 
74 57 6.0 
120 114 7.0 
16 3 6.0 
28 27 10.0 
154 153 9.0 
11 4 6.0 
162 159 8.0 
36 35 10.0 
179 175 8.0 
69 68 8.0 
185 184 2.0 
155 154 2.0 
103 99 5.0 
21 3 8.0 
171 170 3.0 
126 125 8.0 
12 11 6.0 
26 25 10.0 
165 157 3.0 
196 194 7.0 
116 115 5.0 
104 83 2.0 
8 7 5.0 
130 125 4.0 
73 66 2.0 
65 58 6.0 
197 194 8.0 
135 134 7.0 
29 28 2.0 
37 35 4.0 
163 162 5.0 
62 61 6.0 
63 62 9.0 
17 16 9.0 
178 177 6.0 
32 28 6.0 
39 2 5.0 
33 32 1.0 
34 32 10.0 
38 37 4.0 
40 39 6.0 
199 194 10.0 
137 134 3.0 
173 170 7.0 
70 67 6.0 
127 126 9.0 
56 46 9.0 
138 137 2.0 
41 39 1.0 
156 153 7.0 
141 134 5.0 
117 115 2.0 
53 51 7.0 
146 145 5.0 
10 6 9.0 
71 70 3.0 
192 113 9.0 
78 77 6.0 
89 85 3.0 
139 138 2.0 
30 29 7.0 
95 94 3.0 
64 62 2.0 
60 59 7.0 
18 17 10.0 
174 173 4.0 
54 53 4.0 
191 121 1.0 
161 160 9.0 
31 29 4.0 
188 183 8.0 
186 184 3.0 
96 94 10.0 
