200 10
NETWORK_TREE :
1 0 2.0 
110 0 6.0 
147 0 3.0 
2 1 5.0 
111 110 1.0 
112 111 5.0 
24 1 8.0 
25 24 5.0 
133 110 1.0 
63 24 8.0 
26 25 3.0 
149 0 5.0 
64 1 8.0 
150 0 2.0 
65 64 9.0 
27 26 5.0 
31 25 10.0 
32 31 1.0 
113 112 4.0 
3 2 2.0 
4 3 1.0 
71 64 10.0 
5 4 9.0 
72 64 10.0 
73 72 2.0 
55 25 2.0 
74 73 1.0 
141 110 6.0 
49 31 1.0 
33 32 2.0 
151 150 1.0 
22 2 8.0 
8 4 9.0 
144 110 3.0 
152 151 2.0 
6 5 6.0 
66 65 10.0 
134 133 9.0 
170 150 3.0 
7 5 4.0 
130 112 5.0 
67 66 2.0 
97 64 9.0 
108 1 2.0 
50 49 8.0 
155 151 10.0 
89 72 10.0 
114 113 7.0 
11 4 1.0 
76 73 6.0 
84 73 10.0 
85 73 4.0 
90 89 1.0 
156 151 9.0 
157 156 9.0 
77 76 1.0 
115 114 5.0 
12 11 1.0 
116 115 9.0 
142 141 1.0 
28 27 10.0 
131 112 5.0 
19 3 10.0 
18 4 8.0 
171 170 5.0 
91 90 9.0 
13 12 2.0 
23 2 9.0 
174 150 4.0 
35 32 3.0 
161 151 1.0 
143 141 3.0 
178 150 2.0 
145 110 1.0 
179 178 1.0 
180 179 5.0 
124 114 10.0 
17 11 3.0 
86 85 6.0 
36 35 5.0 
98 97 1.0 
181 180 2.0 
158 157 9.0 
58 25 4.0 
99 98 3.0 
192 0 10.0 
125 113 8.0 
56 55 3.0 
175 174 6.0 
159 156 5.0 
37 36 2.0 
20 19 7.0 
117 116 1.0 
193 192 10.0 
164 151 8.0 
119 116 4.0 
95 72 3.0 
105 64 4.0 
38 37 7.0 
21 20 4.0 
127 113 8.0 
14 12 10.0 
106 105 4.0 
80 76 7.0 
69 65 5.0 
70 65 9.0 
146 110 6.0 
100 99 2.0 
29 27 9.0 
44 35 6.0 
128 113 9.0 
176 174 2.0 
188 179 5.0 
78 77 6.0 
103 97 1.0 
121 115 9.0 
15 14 4.0 
60 25 9.0 
153 152 8.0 
9 8 4.0 
61 60 10.0 
75 74 10.0 
162 161 7.0 
46 32 10.0 
42 37 8.0 
39 38 2.0 
45 44 2.0 
53 31 6.0 
182 181 8.0 
136 133 4.0 
172 170 4.0 
109 108 5.0 
92 91 8.0 
104 97 9.0 
166 151 2.0 
132 111 1.0 
30 26 10.0 
93 92 10.0 
167 166 9.0 
198 0 8.0 
177 176 10.0 
194 193 10.0 
59 58 7.0 
199 198 8.0 
129 128 10.0 
191 178 8.0 
195 193 6.0 
154 153 7.0 
94 90 2.0 
137 136 3.0 
183 182 1.0 
173 172 4.0 
163 162 2.0 
107 105 5.0 
126 125 2.0 
122 115 8.0 
138 137 8.0 
62 60 1.0 
101 100 2.0 
68 66 6.0 
51 50 4.0 
96 95 2.0 
10 9 9.0 
186 180 5.0 
120 119 6.0 
34 33 6.0 
160 156 7.0 
123 115 9.0 
81 80 6.0 
197 192 10.0 
16 14 1.0 
165 164 5.0 
187 186 5.0 
196 195 4.0 
118 117 1.0 
79 77 10.0 
52 51 7.0 
88 85 8.0 
82 80 5.0 
40 38 2.0 
168 167 6.0 
102 100 7.0 
87 86 2.0 
41 40 9.0 
184 183 7.0 
47 46 4.0 
48 46 7.0 
189 188 9.0 
43 36 4.0 
169 166 6.0 
54 31 2.0 
185 181 5.0 
139 138 8.0 
83 80 5.0 
135 134 7.0 
148 147 6.0 
140 136 10.0 
57 56 7.0 
190 188 5.0 
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10  
36 9  
34 2 3 4 6 7  
144 2 4 5 8 9  
123 5 6 10  
155 1 2 3 4 5 6 8 9 10  
139 1 4 5 7 8  
193 2 3 5 6 7 8 9 10  
10 2 3 7  
69 3 4 6 8  
166 2 3 7 8  
3  
59 2 4 8 9 10  
184 2 9  
150 5 10  
56 2 3 4 7 9 10  
98 1 2 4 5 6 7 8 9 10  
76 2 6 7 8 9  
19 3 4 5 9  
53 1 2 3 4 5 6 8 10  
189 4 7 8 9 10  
145 3 9  
73 1 2 3 4 5 6 7 8 9  
137 1 4 10  
111 1 6 10  
122 1 3 4 5 6 7 8 10  
116 5 9  
160 1 2 4 5 6 7 8 9 10  
11 3 7  
195 1 3 4 5 8 10  
90 1 2 3 5 6 7 8  
134 1 2 3 4 6 8 9 10  
87 4 5 7 8  
164 1  
95 3 4 9 10  
