200 100
NETWORK_TREE :
1 0 4.0 
33 0 3.0 
35 0 1.0 
36 35 1.0 
80 0 2.0 
2 1 3.0 
37 36 6.0 
81 80 7.0 
116 0 8.0 
138 0 3.0 
117 116 3.0 
156 0 5.0 
166 0 5.0 
64 35 1.0 
118 117 1.0 
167 166 4.0 
157 156 1.0 
69 35 3.0 
84 80 10.0 
3 2 1.0 
139 138 8.0 
93 80 1.0 
176 0 2.0 
106 80 10.0 
48 36 2.0 
125 117 8.0 
108 80 8.0 
109 108 7.0 
82 81 9.0 
158 157 9.0 
70 69 8.0 
38 37 9.0 
40 37 5.0 
94 93 5.0 
71 70 7.0 
178 0 1.0 
14 1 3.0 
22 1 10.0 
23 22 3.0 
161 156 5.0 
140 139 7.0 
141 140 5.0 
95 94 3.0 
96 95 9.0 
15 14 3.0 
99 93 3.0 
179 178 4.0 
187 0 7.0 
4 3 7.0 
162 156 4.0 
61 36 6.0 
142 141 7.0 
49 48 9.0 
18 14 3.0 
112 108 8.0 
42 37 9.0 
197 0 6.0 
172 166 5.0 
163 156 3.0 
119 118 4.0 
56 48 1.0 
30 1 10.0 
62 36 2.0 
180 179 6.0 
41 40 3.0 
188 187 7.0 
6 3 6.0 
85 84 9.0 
168 167 5.0 
164 156 6.0 
126 125 3.0 
50 49 5.0 
58 48 10.0 
181 180 6.0 
127 126 9.0 
169 167 7.0 
65 64 7.0 
143 140 1.0 
76 69 10.0 
59 58 2.0 
86 85 10.0 
26 22 10.0 
24 23 4.0 
72 70 3.0 
28 22 7.0 
31 30 1.0 
43 42 6.0 
182 181 9.0 
165 164 3.0 
51 50 9.0 
77 76 3.0 
19 18 1.0 
44 37 10.0 
124 118 7.0 
60 58 7.0 
148 139 4.0 
105 93 4.0 
120 119 2.0 
189 187 5.0 
53 50 2.0 
74 70 8.0 
32 1 1.0 
98 94 10.0 
100 99 1.0 
83 81 3.0 
7 3 3.0 
101 99 9.0 
5 4 8.0 
132 125 6.0 
128 126 3.0 
87 86 9.0 
16 15 5.0 
97 95 8.0 
79 35 1.0 
66 65 4.0 
190 189 10.0 
144 143 8.0 
73 72 3.0 
110 109 8.0 
191 190 9.0 
192 191 3.0 
8 7 2.0 
67 66 7.0 
160 157 2.0 
159 158 10.0 
193 192 10.0 
21 18 5.0 
129 128 5.0 
135 117 8.0 
145 143 8.0 
170 169 9.0 
9 8 2.0 
173 172 1.0 
52 51 2.0 
152 138 4.0 
183 181 8.0 
103 99 9.0 
90 86 8.0 
175 166 2.0 
63 62 5.0 
92 84 9.0 
185 178 1.0 
54 50 1.0 
153 152 10.0 
88 87 7.0 
91 90 2.0 
45 37 10.0 
78 76 3.0 
171 167 7.0 
55 50 8.0 
114 80 7.0 
131 128 7.0 
154 152 6.0 
174 172 10.0 
115 114 5.0 
155 138 10.0 
149 148 10.0 
133 132 9.0 
136 135 6.0 
194 190 10.0 
186 185 5.0 
25 23 8.0 
195 194 5.0 
113 112 10.0 
130 129 5.0 
121 120 1.0 
134 125 10.0 
147 143 6.0 
68 67 10.0 
151 148 4.0 
122 121 4.0 
89 87 6.0 
10 8 1.0 
184 183 6.0 
196 194 5.0 
46 45 3.0 
102 101 7.0 
57 56 4.0 
