200 50
NETWORK_TREE :
1 0 8.0 
74 0 2.0 
75 74 2.0 
2 1 2.0 
76 75 2.0 
143 74 1.0 
144 74 6.0 
77 76 9.0 
34 1 1.0 
126 75 6.0 
46 1 3.0 
3 2 2.0 
17 2 2.0 
47 46 7.0 
78 77 10.0 
178 0 4.0 
145 144 2.0 
100 76 6.0 
79 78 10.0 
104 76 2.0 
179 178 10.0 
127 126 1.0 
105 104 8.0 
129 126 10.0 
30 2 8.0 
86 77 9.0 
184 0 8.0 
133 126 9.0 
87 86 3.0 
185 184 1.0 
190 0 2.0 
4 3 5.0 
141 75 7.0 
35 34 1.0 
18 17 10.0 
128 127 2.0 
37 34 2.0 
114 76 2.0 
32 2 8.0 
191 190 5.0 
146 145 1.0 
58 1 9.0 
161 74 9.0 
115 114 2.0 
5 4 8.0 
59 58 8.0 
36 35 7.0 
194 0 2.0 
180 179 9.0 
186 185 7.0 
195 194 7.0 
21 17 7.0 
162 161 2.0 
164 74 1.0 
168 74 3.0 
69 58 5.0 
159 144 9.0 
181 180 7.0 
188 185 2.0 
80 79 1.0 
107 104 2.0 
7 4 10.0 
89 77 10.0 
111 104 5.0 
196 194 10.0 
81 78 10.0 
169 168 10.0 
71 58 2.0 
119 114 3.0 
48 47 2.0 
50 47 3.0 
197 196 5.0 
165 164 9.0 
60 59 1.0 
11 4 6.0 
120 76 6.0 
51 50 9.0 
170 169 4.0 
101 100 10.0 
171 170 3.0 
22 21 8.0 
61 60 9.0 
96 77 9.0 
116 115 6.0 
25 21 2.0 
72 1 8.0 
66 59 1.0 
172 171 7.0 
12 11 6.0 
38 37 1.0 
187 186 1.0 
150 145 8.0 
52 51 3.0 
54 46 7.0 
108 107 8.0 
109 107 2.0 
57 46 5.0 
8 7 7.0 
6 5 8.0 
192 190 1.0 
147 146 9.0 
67 66 9.0 
174 170 9.0 
163 162 3.0 
182 180 3.0 
9 8 3.0 
68 66 8.0 
90 89 1.0 
183 179 8.0 
130 129 1.0 
49 48 3.0 
41 34 4.0 
121 76 8.0 
27 17 5.0 
