200 40
NETWORK_TREE :
1 0 10.0 
2 1 4.0 
44 1 3.0 
45 44 10.0 
142 0 7.0 
3 2 1.0 
25 2 6.0 
27 2 7.0 
161 0 8.0 
46 45 4.0 
143 142 6.0 
151 142 6.0 
60 45 4.0 
61 60 2.0 
144 143 2.0 
47 46 9.0 
162 161 2.0 
104 45 6.0 
53 46 1.0 
68 60 2.0 
177 0 5.0 
105 104 2.0 
125 44 8.0 
88 60 3.0 
28 27 3.0 
145 143 2.0 
163 162 8.0 
164 163 8.0 
89 88 8.0 
95 88 3.0 
178 177 5.0 
69 68 8.0 
112 45 7.0 
4 3 4.0 
180 0 3.0 
29 27 4.0 
113 112 7.0 
114 113 2.0 
35 2 5.0 
152 151 7.0 
10 3 1.0 
96 95 2.0 
167 162 9.0 
20 3 6.0 
106 105 2.0 
5 4 5.0 
126 125 2.0 
11 10 9.0 
146 145 10.0 
181 180 6.0 
14 10 7.0 
191 180 3.0 
182 181 7.0 
22 3 2.0 
118 112 9.0 
127 44 6.0 
62 61 4.0 
38 2 8.0 
129 44 2.0 
90 89 5.0 
130 129 6.0 
6 5 7.0 
92 89 8.0 
36 35 5.0 
63 61 7.0 
165 163 9.0 
131 130 4.0 
156 142 5.0 
64 63 7.0 
133 130 5.0 
70 69 3.0 
147 146 4.0 
192 191 2.0 
39 38 6.0 
93 89 4.0 
172 161 4.0 
97 96 2.0 
134 129 1.0 
135 134 9.0 
186 181 8.0 
24 3 5.0 
190 181 6.0 
16 10 3.0 
7 6 6.0 
23 22 3.0 
71 69 9.0 
78 69 4.0 
197 180 10.0 
108 105 6.0 
101 88 5.0 
173 172 3.0 
17 16 3.0 
159 142 3.0 
48 47 4.0 
136 129 8.0 
128 127 2.0 
170 162 4.0 
9 4 3.0 
149 143 4.0 
81 68 2.0 
94 89 4.0 
54 53 4.0 
84 68 1.0 
72 71 4.0 
98 97 3.0 
183 182 7.0 
65 63 3.0 
30 27 2.0 
73 71 1.0 
12 11 10.0 
40 39 9.0 
75 71 7.0 
137 129 9.0 
184 183 8.0 
171 162 1.0 
82 81 3.0 
187 186 1.0 
193 192 10.0 
157 156 5.0 
80 69 3.0 
43 2 2.0 
179 177 4.0 
100 97 8.0 
18 16 10.0 
66 61 3.0 
176 172 6.0 
8 7 7.0 
31 27 1.0 
91 90 2.0 
15 14 5.0 
26 25 4.0 
107 106 2.0 
55 54 1.0 
160 159 4.0 
139 44 5.0 
49 48 7.0 
52 47 1.0 
121 45 9.0 
102 60 10.0 
99 98 3.0 
32 27 6.0 
85 84 4.0 
83 82 7.0 
76 75 3.0 
79 78 2.0 
87 68 2.0 
194 193 1.0 
103 102 3.0 
168 167 10.0 
123 45 1.0 
138 129 7.0 
37 35 5.0 
169 168 2.0 
195 192 7.0 
86 84 2.0 
50 48 8.0 
188 187 3.0 
41 40 2.0 
148 147 10.0 
158 157 2.0 
74 73 5.0 
19 16 4.0 
124 45 6.0 
198 197 3.0 
150 143 1.0 
115 113 4.0 
132 131 9.0 
77 71 7.0 
109 104 8.0 
110 109 2.0 
140 44 10.0 
51 48 10.0 
199 198 1.0 
122 121 2.0 
166 165 1.0 
21 20 10.0 
116 115 2.0 
174 173 1.0 
153 152 1.0 
111 104 7.0 
57 54 4.0 
67 66 1.0 
13 11 1.0 
154 153 4.0 
119 112 9.0 
42 40 3.0 
117 113 8.0 
120 112 10.0 
33 32 1.0 
34 32 1.0 
56 55 9.0 
58 57 3.0 
155 153 3.0 
141 44 9.0 
196 191 10.0 
189 187 8.0 
185 182 7.0 
59 54 5.0 
175 174 4.0 
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
180 2 3 4 5 6 8 11 12 13 14 15 16 19 21 22 26 27 28 29 33 35 39  
133 5 9 23 31 32  
97 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 23 24 26 27 29 31 32 34 35 36 37 38 39 40  
176 1 8 10 13 15 19 21 22 29 32 36 39  
69 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39 40  
101 2 4 6 8 10 12 13 14 16 17 21 22 25 26 27 30 31 33 34 35 36 38 39 40  
156 1 3 5 8 10 11 14 15 18 19 20 22 23 24 26 29 30 32 33 35 36 37 38 39 40  
175 1 2 3 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  
8 1 2 3 4 5 6 9 10 11 12 13 14 15 17 18 19 20 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40  
183 1 2 12 13 16 24 26 29 37 38  
48 2 4 11 12 14 15 19 24 25 26 27 29 32 34 35 37 38 39  
21 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40  
186 10 12 13 14 18 22 23 24 26 27 29 31 32 33 36 37 38 39  
27 1 2 4 6 7 8 9 13 14 16 18 19 21 22 23 25 26 27 28 29 30 32 35 37 38 39 40  
124 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40  
173 2 4 6 7 8 9 10 13 14 15 17 18 22 24 26 27 29 30 31 32 34 35 36 38  
54 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 40  
100 1 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38 39  
4 1 2 3 5 6 7 8 9 10 11 13 15 16 17 18 20 24 25 26 30 31 32 34 35 36 38 39 40  
135 1 3 9 11 14 18 20 21 25 33 39  
169 4 7 8 9 17 22 23 28 36 37 38 40  
43 1 3 4 6 7 9 12 13 14 18 19 20 21 22 23 24 27 28 30 33 34 35 36 37 38 39  
26 29  
63 3 7 8 12 14 15 16 25 26 29 31 32 39  
111  
73 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40  
154 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
192 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
161 1 2 3 7 8 9 10 11 12 13 14 15 17 18 19 21 22 23 24 25 27 28 29 31 32 33 35 36 38 39  
62 1 7 14 19 26 36  
106 2 4 7 8 13 23  
90 6 7 14 36  
75 1 2 9 20 22 24 25 30 33 37  
143 1 2 3 8 9 10 11 12 14 15 17 18 19 20 24 25 27 28 30 32 34 36 39 40  
196 1 2 3 5 6 8 9 10 11 12 13 14 17 21 23 25 26 27 28 30 31 32 33 34 36 37 38 39  
67 1 2 6 7 10 11 16 18 20 22 25 26 28 30 32 33 34 35  
125 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 20 22 23 25 27 28 30 31 33 34 36 37 38 40  
130 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 21 22 23 24 25 26 27 28 29 31 32 35 36 37 38 39 40  
84 1 6 8 9 11 14 15 16 17 18 19 21 22 23 24 29 30 31 32 33 34 35 37 38 39  
172 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 24 26 27 28 29 30 31 32 33 35 36 37 38 39  
168 15 29  
89 1 5 11 25 29 32  
122 2 3 4 9 10 12 15 21 22 23 24 25 27 40  
105 2 4 7 10 11 13 20 23 27 28 30 31 35 37 38  
152 3 4 6 7 9 10 11 14 16 17 18 19 20 24 27 28 29 32 33 34 35 36 38 39 40  
148  
112 1 2 3 4 5 8 9 13 14 15 16 17 18 19 20 21 22 24 25 28 29 31 32 34 35 36 38 40  
11 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 26 27 29 30 31 32 33 34 35 36 37 38 39 40  
123 1 2 4 5 6 7 8 9 10 11 13 15 16 17 18 20 21 23 24 25 26 27 28 30 32 33 34 35 36 40  
189 1 2 3 6 7 8 9 10 12 13 14 15 16 18 19 20 24 26 27 28 29 31 32 33 34 35 36 37 38 39 40  
59 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 38 39 40  
85 1 2 3 4 5 6 7 8 10 11 12 13 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38 39  
146 1 2 3 4 5 6 9 10 11 14 21 22 23 25 28 29 31 33 38 39  
153 10 18 22 23  
184 6 8 9 12 14 15 17 18 20 21 22 23 24 26 28 29 30 31 34 37 39 40  
151 6 14 18 21  
86 1 3 4 5 6 7 8 9 10 12 13 17 20 23 24 26 27 28 30 32 33 35 36 37 38 39  
129 1 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 23 24 25 26 27 29 30 31 32 33 34 36 37 38 39 40  
82 1 2 3 7 8 12 13 14 15 19 21 27 28 30 31 33 36 38  
120 1 23 24 30 33 40  
117 1 4 5 10 15 16 31 38  
88 1 13 15 16 22 31  
157 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
49 7 9 11 14 25 26 31 32 33  
162 1 2 3 4 6 7 10 12 13 14 15 16 19 21 22 25 26 27 28 29 30 31 35 36 38 39 40  
45 8 16 21 22 31 34 39  
118 1 4 6 7 8 9 10 12 16 17 19 20 22 23 25 28 29 30 32 33 34 37 39 40  
38 1 2 3 4 5 6 7 8 10 12 14 15 16 17 19 20 21 22 24 25 26 27 28 29 30 31 32 36 39 40  
76 8 10 12 19 20 21 23 24 25 28 34 38 40  
193 5 15 23 29 38  
60 1 2 3 5 7 8 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 31 33 34 35 36 37 38 39 40  
28  
72 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 33 34 36 37 38 39 40  
147 1 3 4 5 8 9 10 11 12 13 14 15 16 17 19 21 22 25 28 29 30 31 32 33 34 35 38 39  
128 2 3 4 5 6 7 11 12 13 14 16 17 18 19 20 22 23 24 25 28 29 30 31 32 33 34 36 38 40  
51 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
199 8 12 21 30 32  
113 6 17 30 31 33 37 38  
110  
3 1 2 3 5 7 8 10 11 13 14 17 18 20 22 23 25 27 28 29 30 31 32 34 36 37 38 39 40  
134 1 2 3 4 6 8 9 10 12 17 18 20 22 23 24 29 30 32 34 36 38 40  
138 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 40  
68 1 2 3 7 8 11 13 16 17 18 19 20 21 23 26 29 31 38 40  
92 2 4 6 10 11 12 14 15 18 23 27 28 29 31 32 34 37 38 40  
22 1 2 4 5 6 7 8 9 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
107 1 2 3 4 5 8 9 10 11 12 13 15 16 17 18 20 21 22 23 25 27 28 29 30 32 33 34 36 37 38 39 40  
33 1 2 4 6 7 8 11 16 17 18 20 22 23 24 25 29 31 32 33 34 35 37 40  
181 1 2 3 4 7 12 13 14 17 20 21 24 26 27 30 31 32 34 36 37 39 40  
187 1 2 5 6 8 10 11 12 13 16 17 18 19 23 28 29 30 31 32 33 35 36 37 39 40  
127 1 2 3 4 6 7 9 10 11 13 16 18 20 23 24 26 27 30 32 34 37 38  
158 1 2 3 4 5 6 7 8 9 10 12 13 14 16 17 19 20 21 22 23 24 25 26 27 28 29 31 34 35 36 37 39 40  
61 1 2 3 5 6 7 8 9 10 11 12 14 15 16 18 19 20 21 23 24 25 26 27 28 29 30 33 34 35 36 37 38 39  
52 1 4 5 6 7 9 10 11 13 14 15 16 17 18 19 20 21 22 23 25 26 27 28 30 31 32 33 34 35 36 37 39 40  
7 1 3 6 8 21 36 39  
58 2 4 6 7 15 19 22 25 32 33  
77 9 10 11 13 16 17 19 20 21 24 26 28 32 33 34 38 40  
35 3 4 6 8 11 12 13 16 17 18 19 20 21 25 27 28 29 30 31 34 36 37 38 39 40  
197 1 3 4 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 25 26 27 28 30 31 32 33 34 35 36 37 38  
155 1 4 5 9 11 12 13 14 15 16 18 19 21 23 25 26 27 29 31 35 36 37 38 39 40  
115 1 2 3 4 5 6 7 8 9 11 12 13 14 15 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 38 39 40  
24 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 28 29 31 32 33 34 35 36 38 39 40  
179 1 2 3 5 6 7 8 9 10 11 12 14 16 17 19 20 21 23 24 25 27 30 31 34 36 37 39 40  
13 6 7 8 10 16 19 22 23 30  
41 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
32 1 6 7 8 10 13 14 16 17 18 19 20 22 23 27 31 32 33 34 36 38 39 40  
9 2 4 5 6 7 8 9 10 12 13 15 16 17 18 19 20 21 22 23 24 26 27 29 30 31 32 33 34 35 36 37 38 40  
23 5 6 7 11 23 32 34 35 36 38 40  
46 1 7 8 10 11 12 13 14 15 17 20 22 23 27 28 29 32 35 38 39 40  
5 2 7 11 18 21 25 28 32 37 38  
149 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 38 39 40  
108 12 13 34  
96 1 2 4 5 7 8 9 10 11 13 17 18 20 22 23 24 26 28 29 30 31 32 33 34 35 37 38  
188 1 3 4 5 6 7 8 10 11 13 15 16 17 18 19 23 24 25 26 27 28 30 32 34 38 39  
19 3 5 6 8 9 14 16 22 23 28 37 38 40  
160 10 22 28 36  
16 1 2 3 7 9 11 12 14 15 16 18 22 23 27 28 29 30 31 34 35 36 38 40  
50 1 3 4 5 6 7 8 9 10 11 12 13 15 18 19 20 21 22 24 26 27 28 30 31 32 33 34 36 37 39 40  
98 2 3 4 5 6 7 8 9 11 12 13 16 17 18 20 21 22 23 24 25 26 27 28 30 32 33 34 35 36 37 39 40  
20 2 6 10 11 12 16 20 25 29 34 36 37 40  
6 3 5 7 11 14 19 22 25 27  
29 6 7 9 10 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 30 31 32 34 35 36 37 38 39 40  
166 9 10 11 12 15 17 20 23 26 29 30 32 35 36 38 40  
17 1 2 3 4 6 7 9 13 14 16 18 26 30 31 33 36 37 38 39 40  
170 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 20 22 23 24 25 26 27 31 32 34 37 38 39 40  
103 2 3 4 7 8 10 12 15 17 18 19 22 23 25 28 29 31 35 37 38 39  
25 2 3 6 8 9 11 12 13 16 17 18 19 22 24 26 28 29 30 32 33 34 35 36 37 38 39 40  
30 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 21 22 24 25 26 27 28 29 31 32 33 34 35 36 38 39 40  
137 3 4 6 7 8 9 10 11 12 14 15 16 17 18 20 21 23 24 25 26 27 29 30 32 33 34 35 36 37 38 39 40  
164 4 7 8 35 40  
10 1 4 5 6 9 10 12 13 14 16 17 19 21 22 26 27 28 30 33 34 36 37 39 40  
132 1 3 4 11 13 14 21 25 26 31 32 33 34 36 38  
70 1 4 6 10 14 17 22 40  
140 6 14 19 20 25 31 32 35 37  
47 1 2 3 8 11 14 15 16 17 18 21 24 25 26 29 35 38  
114 1 2 6 9 10 11 13 14 15 17 18 19 25 26 28 33 34 36  
94 1 4 5 7 10 13 16 17 18 20 22 23 24 26 28 29 31 33 35 37 38 39 40  
163 1 3 4 5 6 8 9 11 14 15 16 19 20 21 23 24 25 26 27 28 29 30 32 34 35 36 37 38 39  
182 3 34  
104 1 2 3 4 5 6 7 9 10 11 12 13 14 15 17 18 19 20 21 22 23 25 26 27 28 29 31 35 36 37 38 40  
65 9 34  
36 2 3 4 5 8 10 11 13 14 18 19 22 24 25 26 33 34 35 37  
141 3 4 5 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 25 26 27 30 31 33 34 35 36 37 38  
99 4 9 10 16 23 25 29 30 32 34 35 39 40  
12 5 10 14 16 19  
126 3 6 11 15 24 29 33 36 38  
174 14 19 25 33 35  
2 2 3 4 5 6 8 9 10 12 13 14 15 16 19 20 21 22 25 26 28 29 30 32 33 34 35 36 37 38 39 40  
81 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 38 39 40  
177 1 2 3 4 5 6 7 8 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
1 1 3 5 6 8 14 17 18 20 21 25 26 27 31 35 37 40  
39 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 27 28 29 30 31 33 34 35 36 38 39 40  
171 7 11 18 32 39  
71 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 25 26 27 29 30 31 32 33 34 35 36 37 38 39 40  
55 1 3 8 10 12 13 14 16 17 20 22 23 24 25 29 32 35 36 37 39  
178 1 2 3 4 5 7 8 9 13 14 17 19 20 21 22 23 24 25 26 29 30 31 32 33 34 36 37 39 40  
142 3 4 8 10 12 13 19 23 27 32 33 36 38 39  
57 10 16 21 22 25 26 27 28 29 32 33 34 36  
