Generations vod_20x30
0 7995.179689031082
1 7995.179689031082
2 7995.179689031082
3 7995.179689031082
4 7995.179689031082
5 7995.179689031082
6 7995.179689031082
7 7995.179689031082
8 7995.179689031082
9 7995.179689031082
10 7995.179689031082
11 7995.179689031082
12 7995.179689031082
13 7995.179689031082
14 7995.179689031082
15 7995.179689031082
16 7995.179689031082
17 7995.179689031082
18 7995.179689031082
19 7995.179689031082
20 7995.179689031082
21 7995.179689031082
22 7995.179689031082
23 7995.179689031082
24 7995.179689031082
25 7995.179689031082
26 7995.179689031082
27 7995.179689031082
28 7995.179689031082
29 7995.179689031082
30 7995.179689031082
31 7995.179689031082
32 7995.179689031082
33 7995.179689031082
34 7995.179689031082
35 7995.179689031082
36 7995.179689031082
37 7995.179689031082
38 7995.179689031082
39 7995.179689031082
40 7995.179689031082
41 7995.179689031082
42 7995.179689031082
43 7995.179689031082
44 7995.179689031082
45 7995.179689031082
46 7995.179689031082
47 7995.179689031082
48 7995.179689031082
49 7995.179689031082
50 7995.179689031082
51 7995.179689031082
52 7995.179689031082
53 7995.179689031082
54 7995.179689031082
55 7995.179689031082
56 7995.179689031082
57 7995.179689031082
58 7995.179689031082
59 7995.179689031082
60 7995.179689031082
61 7995.179689031082
62 7995.179689031082
63 7995.179689031082
64 7995.179689031082
65 7995.179689031082
66 7995.179689031082
67 7995.179689031082
68 7995.179689031082
69 7995.179689031082
70 7995.179689031082
71 7995.179689031082
72 7995.179689031082
73 7995.179689031082
74 7995.179689031082
75 7995.179689031082
76 7995.179689031082
77 7995.179689031082
78 7995.179689031082
79 7995.179689031082
80 7995.179689031082
81 7995.179689031082
82 7995.179689031082
83 7995.179689031082
84 7995.179689031082
85 7995.179689031082
86 7995.179689031082
87 7995.179689031082
88 7995.179689031082
89 7995.179689031082
90 7995.179689031082
91 7995.179689031082
92 7995.179689031082
93 7995.179689031082
94 7995.179689031082
95 7995.179689031082
