150 50
NETWORK_TREE :
1 0 8.0 
109 0 1.0 
2 1 9.0 
38 1 1.0 
3 2 9.0 
125 0 6.0 
132 0 8.0 
4 3 5.0 
54 1 5.0 
136 0 8.0 
29 3 9.0 
137 136 8.0 
55 54 10.0 
71 1 6.0 
72 71 9.0 
102 1 6.0 
61 54 10.0 
5 4 9.0 
66 54 1.0 
8 4 3.0 
78 71 5.0 
138 137 1.0 
9 8 3.0 
133 132 9.0 
126 125 7.0 
128 125 5.0 
39 38 7.0 
10 9 4.0 
110 109 3.0 
86 71 2.0 
40 39 10.0 
28 4 4.0 
79 78 7.0 
62 61 5.0 
56 55 4.0 
87 71 5.0 
13 8 10.0 
73 72 4.0 
57 55 1.0 
31 3 9.0 
49 38 1.0 
50 38 3.0 
14 13 8.0 
139 138 8.0 
93 71 3.0 
111 110 5.0 
119 110 1.0 
103 1 10.0 
58 55 4.0 
88 87 10.0 
89 88 9.0 
143 138 5.0 
80 78 7.0 
15 13 1.0 
81 80 6.0 
16 15 8.0 
42 39 1.0 
104 103 9.0 
144 143 7.0 
122 109 5.0 
22 8 9.0 
32 31 1.0 
67 66 10.0 
23 22 1.0 
105 1 2.0 
134 132 5.0 
41 40 3.0 
6 5 2.0 
95 71 9.0 
83 78 4.0 
48 39 3.0 
75 72 8.0 
63 62 4.0 
74 73 10.0 
120 110 2.0 
107 1 2.0 
52 38 8.0 
108 107 3.0 
69 54 2.0 
140 139 9.0 
59 58 9.0 
43 42 4.0 
112 111 2.0 
129 128 1.0 
12 9 10.0 
68 66 3.0 
65 61 6.0 
34 3 9.0 
44 43 1.0 
45 42 6.0 
123 122 1.0 
17 15 6.0 
127 126 3.0 
90 89 10.0 
131 128 2.0 
26 8 7.0 
116 111 9.0 
51 50 2.0 
19 15 6.0 
27 26 5.0 
124 109 1.0 
92 88 3.0 
121 110 6.0 
35 3 7.0 
60 55 9.0 
76 75 10.0 
24 23 3.0 
117 116 10.0 
142 139 4.0 
21 15 10.0 
33 32 9.0 
148 138 6.0 
113 112 5.0 
7 6 4.0 
25 23 2.0 
145 144 8.0 
64 63 6.0 
98 71 2.0 
46 42 7.0 
91 90 2.0 
84 78 10.0 
146 143 10.0 
53 38 2.0 
99 71 10.0 
96 95 10.0 
70 54 7.0 
130 129 1.0 
36 2 8.0 
106 105 4.0 
94 93 6.0 
100 71 5.0 
77 76 8.0 
85 78 1.0 
47 46 8.0 
20 19 3.0 
149 137 3.0 
97 96 10.0 
101 100 10.0 
118 111 3.0 
135 132 5.0 
147 146 3.0 
114 113 8.0 
18 17 2.0 
11 10 3.0 
115 114 2.0 
82 81 1.0 
37 2 10.0 
141 140 5.0 
30 29 8.0 
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50  
136 2 3 4 5 6 7 8 9 14 15 16 17 18 19 20 21 22 24 25 26 28 29 30 35 37 38 41 42 43 46 47 48 50  
95 2 3 7 11 13 14 15 16 19 20 22 23 28 29 30 36 37 42 44 46 47 48  
6 1 4 5 6 10 15 16 17 19 20 22 30 31 32 33 35 38 39 40 42 45 46  
143 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40 41 42 44 46 47 48 49 50  
84 7 12 16 24 26 29 30 36 45 47 50  
114 1 2 3 6 7 8 9 10 11 13 14 16 18 20 21 23 24 26 27 29 32 33 34 35 36 37 40 41 43 44 45  
91  
72 1 11 21 23 26 30 32 35 39 40  
104 2 3 4 7 8 9 10 11 12 15 16 17 18 21 24 27 29 31 32 33 34 35 36 38 39 40 41 42 45 47 48 50  
19 3 8 9 10 11 13 16 19 21 23 27 28 29 34 36 37 38 39 41 46 47 49  
120 1 4 5 6 7 8 9 12 13 14 15 16 18 19 20 24 25 26 30 32 36 39 44 46 48 50  
129 1 2 3 4 5 7 8 9 12 13 14 15 16 17 18 19 20 21 23 24 26 27 28 31 32 33 34 35 36 38 39 40 41 42 43 45 46 47 48 49 50  
9 12 13 14 16 17 18 20 24 26 27 28 31 33 35 36 38 39 40 41 42 48 49 50  
50 2 3 5 7 8 9 11 14 15 16 23 25 26 28 29 30 32 33 34 38 40 41 43 44 45 46 47 48  
99 2 4 6 7 10 13 14 15 16 17 18 22 23 24 26 27 29 31 33 34 35 36 39 41 44 45 46 47 48 50  
31 1 3 4 7 9 10 12 13 14 18 19 20 21 22 23 24 25 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 44 45 46 47 48 49 50  
73 3 4 5 7 11 13 14 18 19 20 21 23 26 28 30 31 32 33 37 39 40 41 42 44 45 46 48 49  
90 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50  
57 4 11 16 22 23 24 25 32 42 47  
17 3 19 25 41 50  
88 1 2 3 4 6 7 8 9 10 11 12 14 15 17 19 20 21 22 23 24 25 27 28 29 30 31 32 34 35 36 37 38 39 40 42 44 46 47 49 50  
146 1 7 10 11 15 17 19 22 23 25 30 41 43  
132 6  
