150 10
NETWORK_TREE :
1 0 5.0 
28 0 2.0 
36 0 9.0 
37 36 2.0 
101 36 2.0 
2 1 10.0 
3 1 10.0 
38 37 6.0 
39 38 7.0 
4 3 9.0 
50 38 10.0 
40 39 1.0 
29 28 4.0 
41 40 5.0 
115 0 6.0 
80 37 3.0 
116 115 5.0 
87 37 1.0 
42 41 6.0 
88 87 4.0 
32 28 10.0 
129 115 9.0 
5 4 3.0 
60 38 1.0 
81 80 2.0 
142 0 6.0 
117 116 9.0 
33 32 1.0 
130 129 8.0 
45 40 10.0 
131 130 4.0 
102 101 7.0 
82 81 4.0 
86 80 8.0 
61 60 4.0 
136 129 7.0 
146 0 6.0 
17 3 2.0 
135 130 10.0 
47 39 6.0 
6 5 5.0 
137 136 3.0 
100 37 7.0 
89 88 2.0 
93 87 4.0 
132 131 2.0 
62 60 9.0 
143 142 4.0 
8 5 8.0 
64 60 10.0 
48 39 2.0 
51 50 9.0 
10 5 1.0 
18 17 4.0 
95 87 10.0 
76 60 2.0 
103 102 3.0 
90 89 5.0 
77 76 2.0 
118 117 3.0 
104 103 7.0 
121 116 6.0 
111 101 7.0 
54 50 2.0 
148 0 8.0 
120 117 1.0 
138 137 3.0 
63 62 9.0 
65 64 2.0 
122 121 6.0 
83 81 7.0 
16 4 7.0 
19 18 1.0 
92 89 6.0 
105 104 9.0 
125 121 2.0 
98 87 3.0 
46 45 5.0 
133 132 7.0 
43 42 2.0 
22 18 6.0 
96 95 4.0 
11 10 2.0 
66 64 4.0 
147 146 4.0 
149 148 9.0 
112 111 7.0 
13 10 1.0 
139 136 2.0 
127 121 4.0 
106 104 4.0 
14 10 6.0 
57 50 2.0 
67 64 6.0 
68 67 7.0 
69 68 3.0 
109 102 3.0 
123 122 10.0 
85 81 4.0 
78 77 1.0 
12 11 3.0 
72 64 7.0 
134 131 7.0 
30 29 10.0 
55 54 8.0 
34 33 10.0 
31 30 9.0 
119 118 3.0 
79 60 3.0 
35 33 4.0 
9 8 7.0 
49 39 5.0 
23 22 5.0 
26 1 6.0 
59 50 6.0 
107 106 1.0 
15 5 10.0 
108 106 10.0 
124 123 10.0 
128 116 9.0 
84 83 2.0 
75 64 4.0 
7 6 1.0 
126 125 6.0 
25 3 6.0 
144 142 3.0 
91 90 1.0 
110 102 4.0 
114 36 7.0 
58 57 10.0 
99 98 9.0 
70 69 4.0 
73 72 3.0 
145 142 4.0 
20 19 6.0 
94 93 9.0 
52 51 4.0 
21 20 5.0 
74 73 2.0 
71 70 6.0 
113 101 6.0 
27 1 10.0 
140 129 4.0 
97 95 10.0 
44 42 9.0 
53 51 9.0 
56 55 9.0 
24 18 1.0 
141 140 4.0 
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10  
119 1 2 3 6  
132 1 4 9  
2 1 2 5  
66 1 2 4 5 7 8 9 10  
121 2 5 7 8  
95 2 3 4 6 8  
65 2 6 7 8 9 10  
11 1  
100 6  
42 2 6 7 9 10  
29 3 4 5 6 7 8 9  
72 1 2 4 6 7 8 9 10  
118 1 2 3 4 6 7 8 10  
76 4 7 10  
130 3 5  
117  
124 1 3 5 6 7 9 10  
30 1 2 3 4 5 6 7 9 10  
75 1 2 3 5 6 7 9 10  
21 2 3 4 5 6 8 9  
