150 5
NETWORK_TREE :
1 0 4.0 
2 1 3.0 
3 2 2.0 
69 2 4.0 
94 2 3.0 
4 3 6.0 
127 0 10.0 
148 0 9.0 
5 4 8.0 
70 69 1.0 
95 94 5.0 
117 1 8.0 
34 3 9.0 
96 95 6.0 
13 4 3.0 
74 69 4.0 
128 127 4.0 
75 74 1.0 
111 2 1.0 
113 2 1.0 
26 4 5.0 
131 127 5.0 
132 131 5.0 
105 94 6.0 
97 96 3.0 
118 117 5.0 
123 117 1.0 
6 5 3.0 
76 75 8.0 
77 76 2.0 
102 95 1.0 
133 132 3.0 
14 13 10.0 
106 105 1.0 
143 131 10.0 
134 133 6.0 
78 77 7.0 
124 123 5.0 
144 127 6.0 
35 34 6.0 
7 6 9.0 
36 35 9.0 
79 78 3.0 
37 36 1.0 
125 123 8.0 
40 36 6.0 
82 76 3.0 
65 3 10.0 
71 70 1.0 
43 36 6.0 
57 35 10.0 
47 36 2.0 
135 134 4.0 
27 26 9.0 
33 4 6.0 
91 74 7.0 
15 14 7.0 
38 37 9.0 
140 132 7.0 
114 2 6.0 
48 47 1.0 
29 26 10.0 
18 14 1.0 
41 40 8.0 
83 82 3.0 
129 128 9.0 
115 114 2.0 
16 15 5.0 
44 43 3.0 
19 18 5.0 
141 132 10.0 
84 83 8.0 
80 78 6.0 
99 96 6.0 
142 132 2.0 
107 94 1.0 
49 48 5.0 
17 15 2.0 
66 65 5.0 
51 36 5.0 
119 118 2.0 
31 26 4.0 
108 107 5.0 
52 36 7.0 
112 111 7.0 
61 35 3.0 
28 27 10.0 
92 91 9.0 
32 31 1.0 
103 95 9.0 
85 84 5.0 
100 99 4.0 
149 148 7.0 
86 84 5.0 
88 83 8.0 
116 2 3.0 
72 70 6.0 
10 5 10.0 
45 43 6.0 
68 65 1.0 
130 128 5.0 
90 76 3.0 
62 61 1.0 
98 97 10.0 
104 103 8.0 
53 36 10.0 
20 18 8.0 
11 10 6.0 
23 18 8.0 
30 29 10.0 
109 108 10.0 
42 41 4.0 
126 125 10.0 
54 36 5.0 
56 36 6.0 
145 127 2.0 
110 94 6.0 
9 6 3.0 
89 83 9.0 
58 57 5.0 
21 20 2.0 
136 135 3.0 
137 136 4.0 
81 77 8.0 
22 21 2.0 
24 18 7.0 
39 38 5.0 
121 118 5.0 
55 54 8.0 
93 92 7.0 
139 136 6.0 
63 61 4.0 
101 100 3.0 
64 35 2.0 
12 10 3.0 
25 14 9.0 
50 49 7.0 
59 58 6.0 
67 66 8.0 
122 121 2.0 
87 86 1.0 
46 45 5.0 
60 58 6.0 
120 119 5.0 
146 145 1.0 
147 145 8.0 
138 137 3.0 
8 7 3.0 
73 70 3.0 
NODE_PROGRAM :
0 1 2 3 4 5  
65 2 3 4  
60 2 3 4  
139 1 2 3 4  
38 2 4  
77  
102 1 2 3 5  
32 2 3 4 5  
56 3 4 5  
142 4  
69 2 4 5  
31  
28 3 4 5  
52 4  
23 3  
80 4  
51  
30 1 3  
104 3 5  
22 1 2 3 5  
98 1 2  
50  
117 4  
138  
111 1  
46 2 5  
72 4 5  
58 1 2 4 5  
39 5  
82 1 2  
75 2 3 4  
45 1 2 5  
84  
116 2 4 5  
115  
29 1 2 3  
93  
141 1 5  
26 2 3 5  
147 1 2  
3 1 2  
53 1 2  
131 1 3 4  
148  
21 1 2  
47 2 3 4 5  
89  
9 2 5  
126 3  
125  
44 2 3  
128 2 3  
96  
42 2 5  
133 1 4 5  
79 1 5  
119 2 3  
144 1 2 3 5  
97  
59 1 2 4 5  
95  
57 3 4 5  
105 1 2 3 5  
121 1 2 3 4  
74 1 2 4  
68 2 4  
137 1 2 3 5  
110 1 4 5  
70 1  
114 4  
73 2 4 5  
109  
35 3 4  
48 1 2 3 5  
11 1  
107 4  
103 2 5  
100  
15 5  
71 1 3 4  
2 2 3 4  
12 1 2 3  
13 4  
134 1 2 3 4  
18  
124 5  
120 2 3 5  
64 1 2 3 5  
20 2 5  
90 1 3 4 5  
7 2 3 4 5  
87 1 2 4 5  
43 1 3 4  
146 1  
16  
14 1 2 4 5  
5  
63 1 3 4 5  
88 3  
76 1 5  
1 1 2 3 5  
143 1 3 5  
94 2 4  
92 5  
6 2 4 5  
91 1 2 3 5  
17 1 2 3 5  
108 5  
132 2 3 4  
62 3 4 5  
122 1 2 3 4  
106 1 2 3  
36  
99 5  
86 1 3 4 5  
113 5  
41 1 2 3 5  
112 1 4  
83 1  
19 1 5  
55 2 4  
145 1 2  
118 2  
54 1  
33 1 3 4  
140 2 3 4 5  
66 1 3 4  
24 2 3 5  
61 1 2 3  
67  
40 3  
135 1 3 4 5  
127 1 2 4 5  
101 2 3 4  
81 2 3 4  
34 1 2 3 4  
25 2 3 5  
123 1 2 3 4  
85  
10 5  
149  
4 1  
49 1 2  
130 1 2 4  
37 1 2 3  
27 4  
8 3 4  
129 1 2  
78 1 3 5  
136 1 3  
COST_INSTALL_SERVER_AND_PROGRAMS :
0 11.0 3.0 4.0 5.0 2.0 1.0  
65 6.0 4.0 2.0 1.0 1.0 4.0  
60 11.0 2.0 1.0 4.0 4.0 2.0  
139 7.0 4.0 5.0 4.0 1.0 1.0  
38 15.0 2.0 5.0 5.0 4.0 2.0  
77 7.0 3.0 4.0 3.0 4.0 3.0  
102 7.0 1.0 1.0 1.0 5.0 1.0  
32 10.0 1.0 3.0 1.0 1.0 4.0  
56 6.0 1.0 1.0 3.0 1.0 5.0  
142 7.0 5.0 1.0 1.0 3.0 3.0  
69 11.0 5.0 5.0 1.0 4.0 4.0  
31 8.0 5.0 2.0 4.0 5.0 4.0  
28 7.0 1.0 5.0 3.0 2.0 1.0  
52 13.0 5.0 3.0 3.0 5.0 4.0  
23 8.0 1.0 1.0 4.0 2.0 1.0  
80 6.0 3.0 1.0 5.0 1.0 5.0  
51 8.0 3.0 1.0 2.0 4.0 2.0  
30 7.0 5.0 4.0 4.0 2.0 4.0  
104 9.0 1.0 5.0 5.0 1.0 5.0  
22 15.0 5.0 5.0 5.0 2.0 5.0  
98 13.0 2.0 5.0 5.0 2.0 1.0  
50 8.0 2.0 5.0 2.0 4.0 3.0  
117 14.0 4.0 3.0 3.0 4.0 3.0  
138 6.0 4.0 1.0 3.0 3.0 3.0  
111 12.0 5.0 2.0 3.0 1.0 4.0  
46 9.0 4.0 3.0 3.0 5.0 2.0  
72 8.0 3.0 3.0 5.0 1.0 1.0  
58 6.0 5.0 2.0 4.0 4.0 5.0  
39 11.0 2.0 1.0 3.0 5.0 1.0  
82 8.0 1.0 1.0 3.0 5.0 5.0  
75 15.0 2.0 5.0 1.0 3.0 1.0  
45 9.0 1.0 4.0 3.0 2.0 3.0  
84 9.0 5.0 5.0 2.0 1.0 3.0  
116 8.0 4.0 2.0 4.0 3.0 3.0  
115 8.0 2.0 5.0 2.0 3.0 1.0  
29 6.0 4.0 3.0 5.0 1.0 1.0  
93 9.0 3.0 1.0 2.0 3.0 1.0  
141 15.0 2.0 4.0 2.0 3.0 4.0  
26 10.0 5.0 4.0 4.0 4.0 1.0  
147 15.0 5.0 5.0 2.0 1.0 1.0  
3 12.0 4.0 1.0 4.0 1.0 2.0  
53 14.0 5.0 2.0 4.0 3.0 4.0  
131 9.0 4.0 3.0 5.0 3.0 3.0  
148 13.0 5.0 2.0 1.0 5.0 5.0  
21 12.0 2.0 3.0 4.0 5.0 1.0  
47 9.0 2.0 4.0 4.0 1.0 3.0  
89 13.0 3.0 4.0 3.0 1.0 2.0  
9 15.0 3.0 2.0 1.0 5.0 4.0  
126 6.0 4.0 1.0 4.0 1.0 3.0  
125 12.0 2.0 2.0 4.0 4.0 5.0  
44 6.0 1.0 5.0 1.0 1.0 3.0  
128 7.0 4.0 4.0 3.0 5.0 4.0  
96 9.0 4.0 1.0 4.0 4.0 4.0  
42 14.0 5.0 1.0 1.0 2.0 5.0  
133 12.0 3.0 5.0 2.0 5.0 1.0  
79 13.0 5.0 5.0 1.0 2.0 4.0  
119 10.0 3.0 4.0 3.0 1.0 2.0  
144 12.0 2.0 2.0 2.0 3.0 4.0  
97 8.0 5.0 5.0 4.0 3.0 2.0  
59 11.0 5.0 2.0 5.0 2.0 2.0  
95 12.0 3.0 5.0 5.0 1.0 4.0  
57 7.0 3.0 3.0 3.0 3.0 5.0  
105 7.0 2.0 5.0 1.0 1.0 1.0  
121 12.0 4.0 3.0 5.0 4.0 4.0  
74 15.0 3.0 4.0 1.0 1.0 5.0  
68 13.0 2.0 3.0 5.0 2.0 5.0  
137 7.0 3.0 2.0 3.0 5.0 1.0  
110 14.0 3.0 5.0 1.0 1.0 4.0  
70 15.0 5.0 5.0 4.0 1.0 5.0  
114 9.0 3.0 4.0 5.0 5.0 4.0  
73 11.0 1.0 4.0 3.0 3.0 3.0  
109 7.0 4.0 3.0 2.0 3.0 4.0  
35 10.0 4.0 1.0 5.0 5.0 4.0  
48 6.0 4.0 3.0 2.0 1.0 1.0  
11 6.0 3.0 1.0 2.0 1.0 5.0  
107 13.0 4.0 2.0 1.0 4.0 1.0  
103 9.0 3.0 5.0 4.0 3.0 2.0  
100 12.0 2.0 3.0 2.0 4.0 2.0  
15 12.0 2.0 1.0 3.0 2.0 4.0  
