150 40
NETWORK_TREE :
1 0 7.0 
62 0 8.0 
63 62 7.0 
2 1 6.0 
3 2 6.0 
64 63 10.0 
86 62 7.0 
75 63 10.0 
87 86 3.0 
4 3 6.0 
88 87 7.0 
99 87 7.0 
5 4 9.0 
125 0 10.0 
76 75 8.0 
89 88 5.0 
134 0 9.0 
41 1 7.0 
126 125 8.0 
104 62 10.0 
9 4 10.0 
23 3 5.0 
30 3 7.0 
6 5 1.0 
34 2 7.0 
44 1 2.0 
65 64 7.0 
24 23 3.0 
45 44 10.0 
105 104 7.0 
77 76 5.0 
127 126 7.0 
21 4 2.0 
67 64 2.0 
36 2 10.0 
100 99 3.0 
110 62 6.0 
142 0 3.0 
26 23 6.0 
28 23 8.0 
143 142 1.0 
46 45 5.0 
85 75 8.0 
10 9 1.0 
11 9 10.0 
114 62 4.0 
47 46 5.0 
135 134 10.0 
78 77 7.0 
58 1 9.0 
115 114 10.0 
12 11 5.0 
132 125 5.0 
90 89 6.0 
42 41 6.0 
82 76 4.0 
148 0 6.0 
98 88 3.0 
31 30 9.0 
48 45 8.0 
53 44 9.0 
66 65 4.0 
128 127 9.0 
123 62 1.0 
59 58 4.0 
101 100 10.0 
133 132 4.0 
25 24 1.0 
116 115 2.0 
130 127 6.0 
32 30 10.0 
119 114 9.0 
147 142 8.0 
91 89 5.0 
92 91 5.0 
17 9 8.0 
111 110 1.0 
124 62 5.0 
107 104 10.0 
102 99 2.0 
22 21 4.0 
108 107 6.0 
37 36 1.0 
7 5 5.0 
121 114 7.0 
93 91 8.0 
106 105 6.0 
83 82 6.0 
79 78 7.0 
61 1 1.0 
96 91 4.0 
97 96 9.0 
39 2 6.0 
122 114 6.0 
70 64 10.0 
40 39 9.0 
131 130 10.0 
117 115 3.0 
55 44 10.0 
94 93 5.0 
43 41 8.0 
84 82 3.0 
80 79 6.0 
68 67 2.0 
54 53 2.0 
140 134 4.0 
27 26 10.0 
56 55 5.0 
144 143 7.0 
49 48 5.0 
8 5 9.0 
145 144 7.0 
19 9 6.0 
81 80 4.0 
136 135 9.0 
52 45 9.0 
129 128 3.0 
38 37 9.0 
33 3 7.0 
109 108 8.0 
18 17 10.0 
137 136 7.0 
118 117 5.0 
71 70 6.0 
50 49 5.0 
16 11 9.0 
112 110 7.0 
20 9 4.0 
120 119 2.0 
103 87 6.0 
138 137 6.0 
57 44 1.0 
13 12 9.0 
60 58 6.0 
113 112 5.0 
14 13 7.0 
29 28 5.0 
74 64 4.0 
72 71 4.0 
51 50 5.0 
15 12 8.0 
146 144 10.0 
69 68 6.0 
141 134 8.0 
149 148 8.0 
95 94 2.0 
73 71 3.0 
35 34 8.0 
139 138 8.0 
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
11 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 19 22 23 25 26 27 28 29 30 31 33 34 35 36 37 38 39 40  
146 3 5 8 12 13 21 24 29  
110 2 4 9 14 15 17 18 36  
70 7 14 19 35  
7 1 2 3 5 6 7 10 12 13 14 15 19 25 29 31 34 37  
98 1 2 3 16 20 26 27 29 35  
25 25 36  
87 9 13 21 22 23 28 30 31 33 40  
39 4 13 22 28 34 35  
113 1 2 4 5 6 7 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 38 39  
29 1 2 3 4 5 6 7 8 9 10 11 13 15 16 17 18 19 21 23 24 25 26 27 28 29 31 32 34 35 36 37 38 39 40  
57 3 8 9 23 34  
79 5 10 12 14 16 17 20 23 29 31 32 33 35 37 39  
53 1 2 3 4 5 7 8 9 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 39 40  
67 1 3 4 5 8 9 12 14 15 16 18 19 20 21 22 23 27 29 31 32 33 34 35 37 39  
9 1 3 5 7 8 9 11 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 31 32 35 36 38 39 40  
18 1 2 3 4 5 6 7 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
115 9 13 15 18 19 22 23 26 29 31 33 34 35 36 39 40  
99 2 3 6 14 18 21 26 32 37 39 40  
17 1 3 4 6 8 9 10 12 13 14 15 16 17 18 19 21 22 24 26 27 28 30 32 33 34 35 36 37 38 39 40  
134 1 6 11 17 23 26 27 29 40  
26 6 9 10 12 17 20 23 24 31 35 36 37  
72 1 2 3 4 5 6 10 11 13 14 19 20 21 22 25 29 30 31 32 34 35 38 39 40  
137 1 4 9 10 11 15 21 23 24 25 28  
48 1 2 3 4 5 6 7 8 9 10 11 12 13 14 17 18 19 20 21 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40  
66 1 3 4 5 6 7 10 11 13 14 15 16 17 20 21 25 26 27 28 29 31 34 36 37 39  
69 4 5 9 14 15 16 18 21 28 29 30 33 34 37 39  
120 1 3 7 9 13 14 22 23 24 25 29 31 32 34 36  
143 1 2 4 6 12 13 14 16 18 19 22 23 25 26 30 31 33 38 40  
40 13 18 23 39 40  
