150 25
NETWORK_TREE :
1 0 4.0 
7 0 2.0 
9 0 8.0 
10 9 1.0 
11 10 2.0 
2 1 5.0 
12 11 6.0 
103 0 3.0 
115 0 7.0 
8 7 9.0 
13 12 9.0 
20 11 6.0 
51 10 5.0 
21 20 8.0 
52 51 4.0 
53 52 1.0 
104 103 5.0 
131 0 10.0 
116 115 10.0 
60 10 7.0 
132 131 3.0 
61 60 6.0 
109 103 4.0 
62 61 3.0 
93 9 8.0 
22 21 3.0 
139 0 3.0 
82 60 9.0 
63 62 4.0 
71 62 2.0 
72 71 10.0 
29 21 1.0 
87 10 6.0 
83 82 9.0 
76 62 1.0 
30 29 6.0 
140 139 10.0 
119 115 5.0 
64 63 6.0 
66 63 5.0 
94 93 10.0 
16 12 4.0 
149 0 9.0 
141 139 9.0 
35 21 3.0 
34 29 9.0 
79 61 8.0 
17 16 6.0 
80 79 6.0 
133 131 10.0 
120 119 7.0 
58 52 3.0 
105 104 9.0 
73 72 10.0 
42 20 4.0 
14 13 9.0 
107 104 2.0 
110 109 3.0 
95 94 10.0 
96 94 4.0 
134 133 9.0 
67 66 6.0 
128 119 7.0 
98 9 9.0 
100 9 7.0 
15 14 3.0 
54 53 6.0 
144 139 4.0 
135 133 1.0 
23 22 3.0 
45 20 9.0 
69 66 7.0 
47 11 1.0 
38 21 2.0 
55 54 1.0 
121 120 7.0 
84 82 5.0 
123 120 10.0 
89 10 9.0 
18 17 8.0 
39 38 1.0 
48 47 6.0 
124 123 9.0 
68 67 8.0 
59 58 10.0 
24 23 3.0 
101 100 6.0 
81 79 4.0 
108 107 2.0 
3 2 2.0 
46 45 6.0 
41 21 2.0 
106 105 6.0 
125 123 1.0 
102 101 4.0 
90 89 2.0 
25 24 2.0 
117 116 4.0 
85 60 5.0 
77 62 4.0 
91 90 8.0 
118 116 5.0 
86 85 2.0 
126 125 10.0 
145 139 7.0 
43 42 6.0 
146 139 1.0 
56 53 10.0 
136 133 8.0 
111 110 9.0 
127 123 4.0 
36 35 10.0 
57 53 10.0 
148 139 6.0 
49 48 7.0 
112 103 3.0 
97 93 1.0 
138 133 5.0 
40 39 5.0 
31 30 3.0 
74 73 8.0 
75 74 9.0 
137 136 2.0 
28 24 1.0 
5 2 10.0 
113 112 3.0 
88 87 6.0 
37 36 1.0 
26 25 7.0 
99 98 6.0 
6 5 2.0 
70 69 5.0 
65 64 3.0 
114 113 10.0 
50 47 2.0 
142 141 9.0 
78 62 8.0 
122 121 8.0 
33 30 1.0 
27 25 6.0 
19 17 4.0 
143 141 4.0 
129 128 10.0 
147 146 10.0 
44 42 6.0 
4 3 10.0 
32 31 5.0 
92 89 3.0 
130 129 3.0 
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25  
126 20  
36 1 2 3 4 5 6 7 9 10 11 13 14 16 17 18 19 20 21 22 23 24 25  
24 6 7 9 10 15 18 20 21 22  
57 1 4 5 6 7 8 9 10 11 12 13 14 15 17 18 20 21 24 25  
26  
65 1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 19 20 21 22 23 24 25  
40 1 18 19 24  
58 1 2 3 5 6 7 8 11 12 14 15 17 18 19 20 21 22 23 24 25  
29 2 3 4 10 12 13 14 17 18 19 21 23 24  
4 1 5 8 21  
12 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25  
129 1 2 3 4 5 6 7 8 9 10 11 13 16 17 18 19 20 21 22 23 24 25  
67 1 6 11 13 14 17 19 20 23 25  
73 8 11 16 17 19  
14 1 3 4 5 6 7 8 9 10 11 12 15 16 18 19 20 22 23 24 25  
135 1 2 3 4 5 6 7 8 9 10 11 13 14 17 19 20 21 22 23 24 25  
118 1 2 4 5 6 7 8 11 16 18 22 23 25  
122  
10 3 5 6 7 8 9 10 11 14 15 19 21 22 25  
39 1 2 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25  
86 4 5 9 13 14 16 17 18 19 20 21 24  
50 1 2 6 10 12 13 17 18 20 21 22 25  
100 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25  
55 1 2 3 4 5 9 10 11 12 13 14 15 16 17 18 19 21 22 25  
64 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 18 19 20 21 22 23 24 25  
115 12 13 14 22  
99 1 2 3 4 6 7 8 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25  
119 2 3 4 5 9 10 11 13 14 16 17 18 20 21 23 25  
121 1 2 3 5 6 7 8 9 10 12 13 14 15 16 17 18 19 22 23 25  
5 1 2 4 5 6 8 9 10 12 13 14 15 16 17 19 21 22 23 24 25  
7 9 14  
92 4 10  
108 1 2 4 5 6 7 8 12 14 15 16 17 22  
84 1 2 3 4 5 6 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25  
23 11 12 16 17 18 23  
15 8 9 17 20  
107 1 2 3 4 5 6 7 8 9 10 12 14 15 16 17 18 19 20 21 22 24 25  
37 7 11 18 25  
125 1 2 4 5 6 7 8 10 12 13 14 15 17 18 19 20 21 22 23 24 25  
85 1 2 3 6 7 10 11 12 13 14 15 16 17 21 23 24  
103 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 25  
101 1 2 5 6 7 8 9 10 12 13 16 17 18 19 20 21 22 25  
141  
113 11 15  
78 3 5 8 9 10 11 14 17 19 20 22 24  
59 7 11 15 18  
134 1 4 9 12 15 16 17 22  
9 3 8 12 13 14 15 17 21 25  
116 2 3 5 6 8 9 11 13 14 16 17 18 19 23 24  
146 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 21 24 25  
21 1 8 9 22 23 24  
104 1 2 3 4 9 13 16 19 20 22 24 25  
2  
82 1 5 10 11 12  
60 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 23 25  
72 1 2 4 6 7 12 13 15 17 18 20 21 25  
31  
120 1 3 5 7 8 9 11 12 14 17 19 21 22 24 25  
46 1 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25  
139 1 2 3 4 5 6 7 8 9 10 11 12 13 15 17 19 22 23 25  
149 10 12 14 15  
111 1 3 6 7 11 14 15 16 19 23  
106 2 5 6 8 12  
27 1 2 4 5 6 8 9 10 11 13 14 15 16 17 18 21 22 23 24 25  
76 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 25  
44 1 4 5 6 9 11 15 16 18 19 21 23 25  
17 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25  
22 1 5 7 8 11 12 13 14 15 16 19 24 25  
11  
133 1 2 3 4 6 7 8 10 12 14 17 18 19 20 21 23 24  
66 1 2 6 9 11 19 21 24  
48 18  
97 1 2 3 4 5 7 8 9 11 12 14 15 16 17 18 19 24 25  
140 10 11 14 17 19 24  
128 1 6 8 9 10 11 12 14 15 19 20 21 24 25  
63 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22 24 25  
68 14  
131 1 4  
38 1 2 5 6 7 9 10 11 12 13 14 17 18 19 21 23 24  
95 1 2 3 4 5 6 7 8 9 10 11 12 18 20 21 22 23 25  
54 1 2 3 4 5 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25  
91 2 3 6 9 10 15 16 20 24  
42 8 13 18 19 22 24  
1 1 2 5 6 7 8 9 11 14 15 16 17 18 22 23 24  
45 1 4 5 6 10 11 13 18 20  
51 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25  
114 12 13 15 17 21 24  
112 2 3 4 5 6 7 9 10 11 12 16 17 18 19 20 21 22 24 25  
90  
32 1 2 3 4 6 8 9 10 11 12 13 14 15 16 17 18 19 21 22 24 25  
49 1 3 6 9 14 15 16 17 18 20 22  
19 1 2 3 4 7 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25  
89 1 2 3 4 6 7 8 9 10 12 14 15 16 17 18 19 20 21 24 25  
18 1 3 4 5 6 7 8 10 14 16 18 20 21 23 24 25  
43 4 9 10 13 16 18 19 22 24 25  
110 4 5 7 9 12 14 15 16 19 22 23  
147 1 2 3 4 5 7 8 10 12 13 14 16 17 18 19 20 22 23 25  
56 11 18 22  
13 2 3 6 7 8 9 10 13 15 16 17 19 20 22 24  
93 3 4 5 11 19 21 23 25  
62 1 5 9 13 14 19 21 22  
80 2 3 5 14 18 19  
98 1 2 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25  
132 1 2 3 5 6 8 10 11 12 13 14 15 16 17 18 19 22 23 24 25  
77 15  
102 1 2 3 4 5 6 7 8 10 11 12 14 16 21 22 23 24 25  
117 1 2 3 4 5 6 8 9 11 14 15 16 17 18 19 20 21 22 24 25  
138 5 10 11 20  
33 1 3 4 5 11 12 13 14 15 17 18 21 23 25  
53 9 10 11 12 16 18 22  
71 4 5 6 7 8 9 11 13 16 17 18 19 21 22 23 25  
105 2 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 25  
79 1 3 4 5 6 8 9 10 11 12 14 16 17 18 19 20 21 22 23 24 25  
145 1 3 4 10 11 12 17 19 20 23 24 25  
94 3 6 7 10 11 12 14 15 16 17 18 19 21 22 23 24  
144 1 2 4 9 10 12 16 24 25  
87 12 17 21 22 23  
142 1 3 4 5 6 7 8 11 12 13 14 15 16 17 19 20 21 22 23 24 25  
69 3 5 6 8 10 11 13 14 15 17 18 19 20 21 22 24 25  
16 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25  
35 8 10 14 16 17 21  
74 3 4 5 6 7 9 10 13 14 15 16 17 18 21 23 24 25  
83 1 3 4 5 7 8 12 13 14 15 16 19 20 21 22  
148 2 3 4 5 6 7 8 10 11 12 14 15 16 17 18 19 20 21 22 24 25  
47 1 3 4 7 8 10 14 15 17 18 20 21 24  
109 1 2 3 5 6 8 9 10 12 13 15 16 17 18 19 20 21 23 24  
123 1 2 6 7 9 10 12 13 15 17 19 20 21 22 23 24 25  
25 5 14 15 22  
30 1 6 7 8 11 12 16 17 22 25  
137 4 6 7 8 10 15 19  
3 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 22 24 25  
6 1 2 3 4 8 11 12 13 14 15 16 17 18 19 20 21 22 23 24  
124 1 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25  
70 1 3 4 6 7 9 10 11 12 14 15 17 18 19 22 24 25  
127 9 15 23 24  
52 5 19 22  
136 2 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24  
8 1 2 3 4 5 6 8 10 11 13 14 15 16 18 20 21 22  
61 1 3 4 5 6 9 10 11 15 17 18 19 20 21 22 23 25  
143 1 5 6 7 9 11 12 14 15 16 18 20 21 22  
96 24  
130 2 3 6 7 9 10 11 12 16 17 22 23 25  
34 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25  
41 2 4 14 23 25  
28 24  
88 1 2 3 5 6 7 8 9 11 12 13 15 17 18 20 23 24 25  
20  
75 1 2 3 4 5 6 7 8 9 12 14 17 18 19 20 21 23 24  
81 1 6 25  
