150 5
NETWORK_TREE :
100 0 4
80 100 3
40 80 2
10 80 4
102 80 3
141 40 6
132 0 10
43 0 9
96 141 8
68 10 1
60 102 5
22 100 8
135 40 9
52 60 6
82 141 3
64 10 4
51 132 4
30 64 1
24 80 1
115 80 1
38 141 5
42 132 5
108 42 5
62 102 6
58 52 3
122 22 5
137 22 1
104 96 3
99 30 8
5 99 2
6 60 1
54 108 3
95 82 10
111 62 1
101 42 10
83 54 6
148 5 7
85 137 5
57 132 6
72 135 6
90 104 9
112 72 9
55 148 3
144 112 1
49 137 8
130 112 6
29 99 3
1 40 10
79 68 1
92 112 6
61 72 10
45 112 2
131 83 4
145 38 9
124 141 6
105 64 7
78 95 7
4 144 9
125 108 7
69 80 6
73 45 1
35 38 10
84 95 1
116 130 8
118 29 3
147 51 9
34 69 2
94 78 5
50 92 3
119 84 5
37 108 10
32 118 8
15 148 6
113 52 6
9 108 2
75 102 1
142 73 5
106 78 2
126 1 5
16 112 5
56 122 2
11 38 4
107 75 5
13 112 7
117 24 7
128 72 3
12 145 10
103 105 9
7 11 1
76 60 9
138 32 5
77 113 4
140 43 7
114 32 5
98 118 8
33 80 3
26 68 6
139 96 10
31 92 6
65 1 1
143 51 5
89 99 3
109 128 1
20 58 10
18 76 8
41 112 10
88 84 8
74 139 6
14 84 8
17 35 10
71 107 10
53 116 4
48 49 10
123 112 5
8 112 6
121 132 2
67 102 6
47 104 3
46 118 9
27 61 5
44 88 2
149 131 3
66 149 4
134 5 8
19 44 2
127 84 7
28 4 5
63 122 5
120 123 8
36 103 7
3 149 6
97 128 4
133 77 3
87 72 2
81 139 3
136 95 9
21 142 7
59 27 6
129 126 8
110 63 2
91 114 1
25 31 5
2 27 6
86 56 5
93 121 1
39 121 8
23 66 3
146 90 3
70 68 3
NODE_PROGRAM :
0 1 2 3 4 5
1 2 3 4
2 2 3 4
3 1 2 3 4
4 2 4
6 1 2 3 5
7 2 3 4 5
8 3 4 5
9 4
10 2 4 5
12 3 4 5
13 4
14 3
15 4
17 1 3
18 3 5
19 1 2 3 5
20 1 2
22 4
24 1
25 2 5
26 4 5
27 1 2 4 5
28 5
29 1 2
30 2 3 4
31 1 2 5
33 2 4 5
35 1 2 3
37 1 5
38 2 3 5
39 1 2
40 1 2
41 1 2
42 1 3 4
44 1 2
45 2 3 4 5
47 2 5
48 3
50 2 3
51 2 3
53 2 5
54 1 4 5
55 1 5
56 2 3
57 1 2 3 5
59 1 2 4 5
61 3 4 5
62 1 2 3 5
63 1 2 3 4
64 1 2 4
65 2 4
66 1 2 3 5
67 1 4 5
68 1
69 4
70 2 4 5
72 3 4
73 1 2 3 5
74 1
75 4
76 2 5
78 5
79 1 3 4
80 2 3 4
81 1 2 3
82 4
83 1 2 3 4
85 5
86 2 3 5
87 1 2 3 5
88 2 5
89 1 3 4 5
90 2 3 4 5
91 1 2 4 5
92 1 3 4
93 1
95 1 2 4 5
97 1 3 4 5
98 3
99 1 5
100 1 2 3 5
101 1 3 5
102 2 4
103 5
104 2 4 5
105 1 2 3 5
106 1 2 3 5
107 5
108 2 3 4
109 3 4 5
110 1 2 3 4
111 1 2 3
113 5
114 1 3 4 5
115 5
116 1 2 3 5
117 1 4
118 1
119 1 5
120 2 4
121 1 2
122 2
123 1
124 1 3 4
125 2 3 4 5
126 1 3 4
127 2 3 5
128 1 2 3
130 3
131 1 3 4 5
132 1 2 4 5
133 2 3 4
134 2 3 4
135 1 2 3 4
136 2 3 5
137 1 2 3 4
