150 10
NETWORK_TREE :
73 0 5
38 0 2
146 0 9
144 146 2
113 146 2
3 73 10
72 73 10
97 144 6
41 97 7
32 72 9
107 97 10
42 41 1
11 38 4
92 42 5
69 0 6
91 144 3
101 69 5
131 144 1
10 92 6
81 131 4
128 38 10
95 69 9
77 32 3
37 97 1
57 91 2
36 0 6
16 101 9
27 128 1
15 95 8
54 42 10
56 15 4
29 113 7
143 57 4
63 91 8
23 37 4
74 95 7
106 0 6
80 72 2
51 15 10
124 41 6
21 77 5
126 74 3
9 144 7
67 81 2
71 131 4
2 56 2
62 37 9
141 36 4
30 77 8
105 37 10
87 41 2
76 107 9
117 77 1
119 80 4
6 131 10
14 37 2
139 29 3
136 67 5
99 14 2
13 16 3
93 139 7
5 101 6
65 113 7
59 107 2
145 0 8
115 16 1
66 126 3
78 62 9
7 105 2
129 5 6
82 57 7
33 32 7
100 119 1
110 67 6
48 93 9
46 5 2
52 131 3
84 54 5
40 2 7
148 10 2
64 119 6
75 6 4
8 117 2
4 105 4
31 106 4
102 145 9
79 65 7
22 117 1
39 74 2
85 5 4
133 93 4
138 117 6
44 107 2
61 105 6
120 61 7
89 120 3
49 29 3
134 129 10
98 57 4
112 99 1
125 8 3
12 105 7
109 56 7
18 11 10
116 59 8
26 27 10
122 18 9
1 13 3
103 37 3
123 27 4
58 30 7
127 41 5
70 64 5
60 73 6
83 107 6
132 133 1
24 77 10
111 133 10
17 134 10
104 101 9
43 82 2
19 105 4
88 21 1
34 46 6
142 72 6
114 36 3
86 136 1
47 29 4
118 146 7
50 44 10
147 52 9
25 89 4
135 12 3
96 36 4
108 100 6
121 71 9
35 76 4
20 108 5
55 135 2
90 25 6
149 113 6
137 73 10
130 95 4
68 6 10
53 10 9
28 76 9
45 116 9
140 119 1
94 130 4
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10
1 1 2 3 6
2 1 4 9
3 1 2 5
4 1 2 4 5 7 8 9 10
5 2 5 7 8
6 2 3 4 6 8
7 2 6 7 8 9 10
8 1
9 6
10 2 6 7 9 10
11 3 4 5 6 7 8 9
12 1 2 4 6 7 8 9 10
13 1 2 3 4 6 7 8 10
14 4 7 10
15 3 5
17 1 3 5 6 7 9 10
18 1 2 3 4 5 6 7 9 10
19 1 2 3 5 6 7 9 10
20 2 3 4 5 6 8 9
21 7
22 3
23 3 4 5 6 9
24 1 2 3 4 6 7 8 9
25 7 9 10
26 1 2 4 5 6 7 8 10
27 1 3 4 6 8 9
28 1 5 6 7 8 10
29 1
30 4
31 7 9 10
32 3 5 8 10
33 1 2 4 7 9 10
34 1 3 4 5 6 7 8 9 10
35 2 4 6 10
36 1 2 4 5 7
39 2 7 8
40 1 2 4 5 6 8 9
42 1 6 7 9
43 1 3 6
44 1 2 3 5 6 7 8 9 10
45 1 2 4 5 6 7 8 9 10
46 1 2 3 6
47 1 7 10
49 1 2 4 5 6 7 8 10
50 1 8
51 1 2 4 5 7 8 9
52 1 2 3 4 8 10
53 2 6 8
54 1 2 4 5 6 7 8 9
55 1 3 5 7 10
56 1 2 3 4 5 6 7 8 9
57 1 2 3 5 6 7 8 9
58 2 3 5 6 7 8 9 10
59 2 6
60 2 3 4 5 6 7 9 10
61 6 10
62 1 2 3 4 5 7 8
63 4 5 9 10
64 1 2 3 4 5 6 7 9
65 7
66 9
67 3 4 5 6 7 8 9
68 1 2 3 4 5 6 8 9 10
69 1 4 5 6 7 8 9 10
70 1 3 4 5 7 9 10
71 1 5 7
72 2 5 7 9 10
73 2 4 5 6 8
74 1 2 3 5 6 7 8 9 10
75 8 9
76 1 2 5 6 7 8 10
77 1 2 3 4 5 6 7 9 10
78 4 5
79 1 2 8
80 6
81 3 8 9 10
82 1 4 6 7 8 9 10
83 4 6 7
84 1 2 4 5 7 8 10
85 1 2 3 4 5 6 7 8 10
87 4 5 10
88 3 5 7 10
89 1 3 6 8 9 10
91 1 2 3 4 6 8 9 10
92 1 2 3 4 5 6 7 9 10
93 2 4 5
94 5
95 4
96 1 2 4 5 6 7 8 10
97 1 2 8 10
98 1 2 3 4 5 6 7 8 10
99 1 2 3 4 5 6 8 9 10
100 5 6 8
101 1 2 3 4 5 6 7 8 10
103 2 8 9 10
104 8
106 1 2 3 4 5 6 8 9 10
107 2 6 8 9 10
109 3 4 5 6 10
111 1 5 6 7 9 10
112 1 2 3 4 5 6 7 8 10
113 1 4
115 1 6 9 10
116 5 6 8 10
117 10
118 1 2 3 4 6 7 9
119 2 5 6
122 1 3 4 5 6 7 10
123 2
124 4 6 7
125 1 3 4 5 6 7 8 9 10
126 1 2 4 5 6 7 8 9 10
127 3 4 6 7 8 9 10
128 4
130 1 9
131 6
132 1 2 3 4 5 6 7 8 10
133 9
134 1 2 5 7 10
135 5 6 7 8 9
136 1 2 3 5 6 10
137 1 3 6
138 1 3 5 7 8
140 1 3 7 8
141 1 2 3 5 6 7 8 9 10
142 2 5 6
144 1 2 3 5 6 9 10
145 1 2 4 5 8 9 10
146 7
148 2 4 5 6 7 9
149 1 2 3 5 6 9 10
COST_INSTALL_SERVER_AND_PROGRAMS :
0 10 2 5 3 3 5 1 5 3 4 4
1 12 4 2 4 4 5 1 2 4 3 2
2 6 3 3 2 5 2 2 3 4 5 3
3 7 3 4 3 2 1 5 5 3 4 2
4 8 3 2 2 5 4 2 2 5 4 1
5 7 4 5 4 2 4 4 3 2 4 4
6 11 2 1 5 1 2 3 2 5 5 5
7 9 1 1 4 2 4 2 5 3 2 4
8 13 2 2 2 4 5 1 1 5 1 4
9 7 1 3 3 5 2 5 3 4 5 1
10 8 4 3 1 4 3 1 1 1 1 4
11 8 2 4 3 2 5 5 5 3 4 1
12 6 2 5 5 5 3 2 2 1 4 4
13 9 1 4 3 4 1 4 3 2 2 4
14 6 5 2 3 1 2 3 4 3 3 1
15 8 4 3 1 3 3 4 4 3 3 1
16 14 2 2 4 1 2 2 3 3 1 3
17 13 4 2 4 1 5 2 3 2 4 2
18 6 1 3 4 3 5 3 2 1 3 5
19 9 1 3 3 3 4 3 1 5 4 3
20 8 1 2 2 2 3 1 3 5 5 4
21 11 4 4 3 1 2 4 3 3 3 5
22 13 5 5 5 4 1 1 1 5 5 4
23 15 3 5 5 2 3 1 4 3 2 5
24 10 3 2 1 1 5 4 3 5 3 2
25 13 4 5 3 4 4 2 3 1 4 3
26 10 4 4 2 4 3 4 2 4 4 2
27 15 4 2 3 1 1 2 1 1 1 5
28 11 5 3 2 1 5 2 4 4 1 4
29 7 3 4 2 5 1 5 1 3 2 2
30 9 1 3 3 2 1 4 1 2 5 3
31 15 5 3 2 5 2 5 1 2 5 2
32 8 4 1 3 4 5 2 1 5 4 5
33 12 4 3 1 1 4 2 3 5 4 4
34 6 3 2 1 5 2 1 5 2 2 5
35 7 2 3 4 1 5 1 2 1 5 5
36 11 3 1 4 4 3 2 3 3 3 5
37 8 3 2 1 4 4 3 1 2 4 5
38 14 5 4 5 2 5 1 4 4 5 2
39 6 2 3 5 4 5 2 5 4 1 1
40 11 3 5 3 5 3 4 3 2 4 1
41 10 3 5 3 5 2 1 2 1 1 4
42 9 1 5 5 3 1 5 5 5 5 3
43 12 2 3 1 5 5 2 5 1 1 1
44 12 1 4 4 5 3 4 5 2 1 4
45 12 4 4 2 3 3 2 2 1 1 5
46 10 2 2 5 3 4 5 2 1 4 3
47 13 4 4 2 2 4 2 2 1 1 2
48 12 3 3 4 5 5 1 3 3 2 1
49 6 3 3 5 1 3 1 3 3 3 4
50 10 5 2 5 2 5 3 1 5 5 5
51 14 3 5 5 4 1 2 2 3 1 5
52 15 5 2 3 1 3 1 4 3 4 1
53 6 1 3 3 1 1 4 5 3 2 5
54 15 3 1 4 5 4 1 2 1 2 4
55 12 1 3 2 2 4 1 3 4 1 3
56 10 2 5 4 5 2 5 2 1 3 1
