150 50
NETWORK_TREE :
118 0 8
85 0 1
80 118 9
57 118 1
46 80 9
32 0 6
23 0 8
75 46 5
109 118 5
1 0 8
28 46 9
126 1 8
112 109 10
90 118 6
8 90 9
44 118 6
133 109 10
29 75 9
132 109 1
43 75 3
129 90 5
147 126 1
13 43 3
115 23 9
87 32 7
49 32 5
100 57 7
54 13 4
62 85 3
131 90 2
108 100 10
83 75 4
71 129 7
63 133 5
120 112 4
52 90 5
27 43 10
17 8 4
19 112 1
16 46 9
102 57 1
14 57 3
141 27 8
89 147 8
139 90 3
149 62 5
146 62 1
68 118 10
92 112 4
21 52 10
40 21 9
4 147 5
70 129 7
76 27 1
101 70 6
137 76 8
97 100 1
9 68 9
59 4 7
95 85 5
48 43 9
144 16 1
127 132 10
104 48 1
61 118 2
33 23 5
122 108 3
3 29 2
2 90 9
105 129 4
34 100 3
51 8 8
107 63 4
37 17 10
11 62 2
123 118 2
47 57 8
60 123 3
67 109 2
79 89 9
73 92 9
128 97 4
35 149 2
12 49 1
38 13 10
103 132 3
91 133 6
50 46 9
121 128 1
64 97 6
36 95 1
20 76 6
88 87 3
18 40 10
130 49 2
42 43 7
114 149 9
134 14 2
10 76 6
93 42 5
41 85 1
86 21 3
84 62 6
24 46 7
25 112 9
96 51 10
142 104 3
74 114 10
110 89 4
143 76 10
69 144 9
98 147 6
94 35 5
77 3 4
138 104 2
26 59 8
116 107 6
106 90 2
113 97 7
7 18 2
5 129 10
22 4 10
58 57 2
15 90 10
111 2 10
31 109 7
140 12 1
119 80 8
135 61 4
124 139 6
82 90 5
81 96 8
55 129 1
117 113 8
148 10 3
56 126 3
136 111 10
78 82 10
145 149 3
125 23 5
30 22 3
6 94 8
66 20 2
72 54 3
65 6 2
53 101 1
99 80 10
45 79 5
39 28 8
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
1 2 3 4 5 6 7 8 9 14 15 16 17 18 19 20 21 22 24 25 26 28 29 30 35 37 38 41 42 43 46 47 48 50
2 2 3 36 37 7 42 11 44 13 46 14 15 47 48 16 19 20 22 23 28 29 30
3 32 33 1 35 4 5 6 38 39 40 42 10 45 46 15 16 17 19 20 22 30 31
4 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40 41 42 44 46 47 48 49 50
5 16 50 36 7 24 26 12 29 45 30 47
6 1 2 3 6 7 8 9 10 11 13 14 16 18 20 21 23 24 26 27 29 32 33 34 35 36 37 40 41 43 44 45
8 32 1 35 21 39 23 40 26 11 30
9 2 3 4 7 8 9 10 11 12 15 16 17 18 21 24 27 29 31 32 33 34 35 36 38 39 40 41 42 45 47 48 50
10 34 3 36 37 38 39 8 41 9 10 11 13 46 47 16 49 19 21 23 27 28 29
11 1 4 5 6 7 8 9 12 13 14 15 16 18 19 20 24 25 26 30 32 36 39 44 46 48 50
12 1 2 3 4 5 7 8 9 12 13 14 15 16 17 18 19 20 21 23 24 26 27 28 31 32 33 34 35 36 38 39 40 41 42 43 45 46 47 48 49 50
13 33 35 36 38 39 40 41 42 12 13 14 16 48 17 49 50 18 20 24 26 27 28 31
14 2 3 5 7 8 9 11 14 15 16 23 25 26 28 29 30 32 33 34 38 40 41 43 44 45 46 47 48
15 2 4 6 7 10 13 14 15 16 17 18 22 23 24 26 27 29 31 33 34 35 36 39 41 44 45 46 47 48 50
16 1 3 4 7 9 10 12 13 14 18 19 20 21 22 23 24 25 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 44 45 46 47 48 49 50
17 3 4 5 7 11 13 14 18 19 20 21 23 26 28 30 31 32 33 37 39 40 41 42 44 45 46 48 49
18 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
19 16 32 4 22 23 24 25 42 11 47
20 50 19 3 25 41
21 1 2 3 4 6 7 8 9 10 11 12 14 15 17 19 20 21 22 23 24 25 27 28 29 30 31 32 34 35 36 37 38 39 40 42 44 46 47 49 50
22 1 7 41 10 11 43 15 17 19 22 23 25 30
23 6
24 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 48 49 50
25 1 2 3 4 5 6 10 11 12 14 15 17 18 19 20 22 24 25 27 28 29 30 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
26 1 2 3 6 8 9 10 11 13 17 20 22 23 24 25 26 28 29 30 31 33 34 35 38 40 41 42 44 45 46 47 48 49 50
