150 25
NETWORK_TREE :
84 0 4
31 0 2
48 0 8
19 48 1
69 19 2
53 84 5
11 69 6
41 0 3
26 0 7
138 31 9
99 11 9
147 69 6
86 19 5
51 147 8
136 86 4
110 136 1
52 41 5
78 0 10
49 26 10
55 19 7
104 78 3
139 55 6
126 41 4
101 139 3
100 48 8
68 51 3
60 0 3
54 55 9
76 101 4
111 101 2
56 111 10
9 51 1
117 19 6
123 54 9
65 101 1
129 9 6
74 60 10
28 26 5
25 76 6
71 76 5
115 100 10
120 11 4
61 0 9
43 60 9
121 51 3
143 9 9
113 139 8
67 120 6
102 113 6
70 78 10
58 28 7
8 136 3
112 52 9
14 56 10
83 147 4
15 99 9
37 52 2
96 126 3
80 115 10
141 115 4
47 70 9
13 71 6
75 28 7
103 48 9
23 48 7
36 15 3
81 110 6
116 60 4
16 70 1
35 68 3
85 147 9
119 71 7
125 69 1
79 51 2
24 81 1
29 58 7
34 54 5
127 58 10
93 19 9
94 67 8
20 79 1
72 125 6
133 127 9
77 13 8
46 8 10
3 35 3
42 23 6
149 113 4
33 37 2
131 53 2
59 85 6
144 51 2
63 112 6
39 127 1
106 42 4
89 93 2
128 3 2
107 49 4
40 55 5
105 101 4
82 89 8
17 49 5
21 40 2
1 39 10
114 60 7
95 83 6
50 60 1
98 110 10
137 70 8
62 96 9
135 127 4
2 121 10
4 110 10
124 60 6
91 72 7
88 41 3
73 100 1
108 70 5
7 20 5
57 129 3
122 14 8
148 122 9
130 137 2
145 3 1
30 53 10
44 88 3
146 117 6
38 2 1
5 128 7
27 103 6
132 30 2
134 119 5
6 25 3
87 44 10
22 125 2
118 43 9
45 101 8
18 29 8
109 129 1
64 128 6
92 67 4
140 43 4
12 75 10
97 50 10
66 83 6
10 131 10
90 57 5
32 93 3
142 12 3
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
1 20
2 1 2 3 4 5 6 7 9 10 11 13 14 16 17 18 19 20 21 22 23 24 25
3 18 20 21 22 6 7 9 10 15
4 1 4 5 6 7 8 9 10 11 12 13 14 15 17 18 20 21 24 25
6 1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 19 20 21 22 23 24 25
7 1 18 19 24
8 1 2 3 5 6 7 8 11 12 14 15 17 18 19 20 21 22 23 24 25
9 2 3 4 10 12 13 14 17 18 19 21 23 24
10 1 21 5 8
11 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25
12 1 2 3 4 5 6 7 8 9 10 11 13 16 17 18 19 20 21 22 23 24 25
13 1 17 19 20 6 23 25 11 13 14
14 16 17 19 8 11
15 1 3 4 5 6 7 8 9 10 11 12 15 16 18 19 20 22 23 24 25
16 1 2 3 4 5 6 7 8 9 10 11 13 14 17 19 20 21 22 23 24 25
17 1 2 4 5 6 7 8 11 16 18 22 23 25
19 3 5 6 7 8 9 10 11 14 15 19 21 22 25
20 1 2 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25
21 16 17 18 19 4 20 21 5 24 9 13 14
22 17 1 2 18 20 21 6 22 25 10 12 13
23 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25
24 1 2 3 4 5 9 10 11 12 13 14 15 16 17 18 19 21 22 25
25 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 18 19 20 21 22 23 24 25
26 22 12 13 14
27 1 2 3 4 6 7 8 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25
28 2 3 4 5 9 10 11 13 14 16 17 18 20 21 23 25
29 1 2 3 5 6 7 8 9 10 12 13 14 15 16 17 18 19 22 23 25
30 1 2 4 5 6 8 9 10 12 13 14 15 16 17 19 21 22 23 24 25
31 9 14
32 4 10
33 1 2 4 5 6 7 8 12 14 15 16 17 22
34 1 2 3 4 5 6 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25
35 16 17 18 23 11 12
36 17 20 8 9
37 1 2 3 4 5 6 7 8 9 10 12 14 15 16 17 18 19 20 21 22 24 25
38 18 7 25 11
39 1 2 4 5 6 7 8 10 12 13 14 15 17 18 19 20 21 22 23 24 25
40 1 2 3 6 7 10 11 12 13 14 15 16 17 21 23 24
41 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 25
42 1 2 5 6 7 8 9 10 12 13 16 17 18 19 20 21 22 25
44 11 15
45 17 3 19 20 5 22 8 24 9 10 11 14
46 18 7 11 15
47 16 17 1 4 22 9 12 15
48 17 3 21 8 25 12 13 14 15
49 2 3 5 6 8 9 11 13 14 16 17 18 19 23 24
50 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 21 24 25
51 1 22 23 8 24 9
52 16 1 2 3 19 20 4 22 24 25 9 13
