150 40
NETWORK_TREE :
90 0 7
126 0 8
71 126 7
65 90 6
35 65 6
109 71 10
142 126 7
100 71 10
8 142 3
96 35 6
54 8 7
19 8 7
118 96 9
123 0 10
84 100 8
104 54 5
21 0 9
81 90 7
110 123 8
120 126 10
16 96 10
132 35 5
121 35 7
133 118 1
53 65 7
101 90 2
78 109 7
36 132 3
114 101 10
59 120 7
62 84 5
82 110 7
56 96 2
15 109 2
43 65 10
58 19 3
3 126 6
149 0 3
22 132 6
144 132 8
29 149 1
135 114 5
70 100 8
60 16 1
1 16 10
52 126 4
91 135 5
41 21 10
140 62 7
68 90 9
18 52 10
93 1 5
131 123 5
103 104 6
37 81 6
73 84 4
42 0 6
6 54 3
75 121 9
25 114 8
14 101 9
26 78 4
50 82 9
148 126 1
122 68 4
72 58 10
106 131 4
7 36 1
115 18 2
117 82 6
95 121 10
57 52 9
39 149 8
146 104 5
66 146 5
20 16 8
139 3 1
94 126 5
33 120 10
89 19 2
49 56 4
125 33 6
79 43 1
5 118 5
138 52 7
31 146 8
108 59 6
38 73 6
13 140 7
127 90 1
55 146 4
51 55 9
9 65 6
128 52 6
4 109 10
30 9 9
40 117 10
130 18 3
134 101 10
97 31 5
143 81 8
102 73 3
87 13 6
74 15 2
77 14 2
92 21 4
61 22 10
48 134 5
34 29 7
88 25 5
147 118 9
85 34 7
116 16 6
67 87 4
47 41 9
145 114 9
83 50 3
45 79 9
69 35 7
124 125 8
17 20 10
24 47 7
32 130 5
107 4 6
86 88 5
105 1 9
76 3 7
46 16 4
28 57 2
44 8 6
80 24 6
12 101 1
137 93 9
112 68 6
10 76 5
141 137 7
11 144 5
64 109 4
23 107 4
98 86 5
129 93 8
2 34 10
27 74 6
111 21 8
99 42 8
113 97 2
119 107 3
63 53 8
136 80 8
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
1 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 19 22 23 25 26 27 28 29 30 31 33 34 35 36 37 38 39 40
2 3 21 5 24 8 12 13 29
3 17 2 18 4 36 9 14 15
4 35 19 7 14
5 1 34 2 3 37 5 6 7 10 12 13 14 15 19 25 29 31
6 16 1 2 3 35 20 26 27 29
7 36 25
8 33 21 22 23 40 9 28 13 30 31
9 34 35 4 22 28 13
10 1 2 4 5 6 7 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 38 39
11 1 2 3 4 5 6 7 8 9 10 11 13 15 16 17 18 19 21 23 24 25 26 27 28 29 31 32 34 35 36 37 38 39 40
12 34 3 23 8 9
13 32 33 35 5 37 39 10 12 14 16 17 20 23 29 31
14 1 2 3 4 5 7 8 9 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 39 40
15 1 3 4 5 8 9 12 14 15 16 18 19 20 21 22 23 27 29 31 32 33 34 35 37 39
16 1 3 5 7 8 9 11 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 31 32 35 36 38 39 40
17 1 2 3 4 5 6 7 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 27 28 29 30 31 32 33 34 35 36 37 38 39 40
18 33 34 35 36 39 40 9 13 15 18 19 22 23 26 29 31
19 32 18 2 3 21 37 6 39 40 26 14
20 1 3 4 6 8 9 10 12 13 14 15 16 17 18 19 21 22 24 26 27 28 30 32 33 34 35 36 37 38 39 40
21 1 17 6 23 40 26 27 11 29
22 17 35 36 20 37 6 23 24 9 10 12 31
23 32 1 34 2 3 35 4 5 38 6 39 40 10 11 13 14 19 20 21 22 25 29 30 31
24 1 4 21 23 24 9 25 10 11 28 15
25 1 2 3 4 5 6 7 8 9 10 11 12 13 14 17 18 19 20 21 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
26 1 3 4 5 6 7 10 11 13 14 15 16 17 20 21 25 26 27 28 29 31 34 36 37 39
27 33 34 4 37 5 39 9 14 15 16 18 21 28 29 30
28 32 1 34 3 36 7 9 13 14 22 23 24 25 29 31
29 1 33 2 4 6 38 40 12 13 14 16 18 19 22 23 25 26 30 31
30 18 39 23 40 13
31 33 3 35 36 4 6 7 8 9 11 13 14 16 17 18 19 22 25 29 30 31
32 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 25 26 28 29 30 31 32 33 34 35 36 37 38 39 40
33 1 2 4 5 6 7 8 9 10 12 14 15 16 18 19 20 21 22 23 24 25 29 30 31 32 33 34 35 36 37 38 39 40
34 32 1 35 36 39 8 10 11 20 22 24 25 27 31
35 3 4 6 7 8 9 11 12 14 18 21 22 23 24 25 29 30 31 32 33 34 35 38 39 40
36 35 5 22 6 12 13
37 16 34 19 11 15 31
38 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 33 34 36 37 38 39
39 32 34 2 35 37 6 38 39 40 11 15 16 17 18 19 22 23 24 26 28 29 31
40 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22 23 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
